sourceLang	targetLang	sourceString	targetString	stringID	URL	License	translator_id
en	es-419	about how long have these symptoms been going on?	¿cuánto hace más o menos que tiene estos síntomas?	CMU_1:1	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_es-419_0001
en	es-419	and all chest pain should be treated this way especially with your age	y siempre el dolor de pecho debe tratarse de esta manera, en especial a su edad	CMU_1:2	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_es-419_0001
en	es-419	and along with a fever	y también fiebre	CMU_1:3	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_es-419_0001
en	es-419	and also needs to be checked your cholesterol blood pressure	y también debe controlarse su colesterol y presión arterial	CMU_1:4	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_es-419_0001
en	es-419	and are you having a fever now?	¿y tiene fiebre ahora?	CMU_1:5	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_es-419_0001
en	es-419	and are you having any of the following symptoms with your chest pain	y tiene alguno de los siguientes síntomas además de dolor de pecho	CMU_1:6	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_es-419_0001
en	es-419	and are you having a runny nose?	¿y tiene secreción nasal?	CMU_1:7	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_es-419_0001
en	es-419	and are you having this chest pain now?	¿y siente este dolor de pecho ahora?	CMU_1:8	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_es-419_0001
en	es-419	and besides do you have difficulty breathing	y también tiene dificultad para respirar	CMU_1:9	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_es-419_0001
en	es-419	and can you tell me what other symptoms are you having along with this?	¿y puede decirme qué otros síntomas tiene además de este?	CMU_1:10	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_es-419_0001
en	es-419	and does this pain move from your chest?	¿y este dolor sale de su pecho?	CMU_1:11	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_es-419_0001
en	es-419	and drink lots of fluids	y beba mucho líquido	CMU_1:12	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_es-419_0001
en	es-419	and how high has your fever been	y cuánto ha tenido de fiebre	CMU_1:13	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_es-419_0001
en	es-419	and i have a cough too	y también tengo tos	CMU_1:14	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_es-419_0001
en	es-419	and i have a little cold and a cough	y tengo un poco de resfriado y tos	CMU_1:15	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_es-419_0001
en	es-419	and i'm really having some bad chest pain today	y hoy realmente tengo un dolor de pecho bastante fuerte	CMU_1:16	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_es-419_0001
en	es-419	and is this the right time for your hay fever	y es este el momento indicado para su alergia al polen	CMU_1:17	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_es-419_0001
en	es-419	and it get the chest pain	y aparece el dolor de pecho	CMU_1:18	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_es-419_0001
en	es-419	and i think i have a little bit of a fever	y creo que tengo un poco de fiebre	CMU_1:19	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_es-419_0001
en	es-419	and i want you to describe where the chest pain is	y quiero que describa dónde siente el dolor de pecho	CMU_1:20	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_es-419_0001
en	es-419	and she is sorta have the same symptoms	y digamos que ella tiene los mismos síntomas	CMU_1:21	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_es-419_0001
en	es-419	and tell me what symptoms are you having now?	¿y dígame qué síntomas tiene ahora?	CMU_1:22	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_es-419_0001
en	es-419	and they're having some fevers as well	y están teniendo algo de fiebre también	CMU_1:23	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_es-419_0001
en	es-419	and with your history of diabetes	y con sus antecedentes de diabetes	CMU_1:24	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_es-419_0001
en	es-419	and you know it feels like my chest is like gonna crush	y sabes, siento como que el pecho se me estruja	CMU_1:25	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_es-419_0001
en	es-419	and you know people cough on me all the time	y sabes, la gente me tose encima todo el tiempo	CMU_1:26	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_es-419_0001
