sourceLang	targetLang	sourceString	targetString	stringID	URL	License	translator_id
en	sw	about how long have these symptoms been going on?	je, dalili hizi zimekuwa zikiendelea kwa takriban muda gani sasa?	CMU_1:1	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_sw_0001
en	sw	and all chest pain should be treated this way especially with your age	na maumivu ya kifua yanapaswa kutibiwa hivi hasa umri wako ukizingatiwa	CMU_1:2	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_sw_0001
en	sw	and along with a fever	pamoja na joto jingi mwilini	CMU_1:3	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_sw_0001
en	sw	and also needs to be checked your cholesterol blood pressure	na pia kiwango chako cha kolestrol na shinikizo la damu linapaswa kupimwa	CMU_1:4	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_sw_0001
en	sw	and are you having a fever now?	na je una joto jingi mwilini sasa?	CMU_1:5	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_sw_0001
en	sw	and are you having any of the following symptoms with your chest pain	na je una dalili zozote kati ya hizi pamoja na maumivu ya kifua chako	CMU_1:6	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_sw_0001
en	sw	and are you having a runny nose?	na je, una mafua?	CMU_1:7	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_sw_0001
en	sw	and are you having this chest pain now?	na je, una maumivu ya kifua sasa?	CMU_1:8	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_sw_0001
en	sw	and besides do you have difficulty breathing	kando na hayo, je una matatizo ya kupumua	CMU_1:9	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_sw_0001
en	sw	and can you tell me what other symptoms are you having along with this?	na unaweza kuniambia ni dalili zipi ulizo nazo pamoja na hizi?	CMU_1:10	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_sw_0001
