sourceLang	targetLang	sourceString	targetString	stringID	URL	License	translator_id
en	zu	about how long have these symptoms been going on?	cishe seziqhubeke isikhathi eside kanganani lezi zimpawu?	CMU_1:1	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	and all chest pain should be treated this way especially with your age	futhi bonke ubuhlungu besifuba kufanele bulashwe ngale ndlela ikakhulukazi kubantu abaneminyaka efana neyakho	CMU_1:2	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	and along with a fever	kanye nemfiva	CMU_1:3	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	and also needs to be checked your cholesterol blood pressure	futhi kudingeka kuhlolwe umfutho wegazi we-cholesterol yakho	CMU_1:4	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	and are you having a fever now?	ingabe unemfiva manje?	CMU_1:5	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	and are you having any of the following symptoms with your chest pain	futhi ingabe unezimpawu ezilandelayo nobuhlungu besifuba sakho	CMU_1:6	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	and are you having a runny nose?	futhi ingabe unekhala eliphuma amafinyila?	CMU_1:7	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	and are you having this chest pain now?	futhi ingabe unalobu buhlungu besifuba manje?	CMU_1:8	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	and besides do you have difficulty breathing	futhi ingabe unenkinga yokuphefumula	CMU_1:9	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	and can you tell me what other symptoms are you having along with this?	futhi ungakwazi ukutshela ukuthi yiziphi ezinye izimpawu onazo nalokhu?	CMU_1:10	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	and does this pain move from your chest?	futhi ingabe lobu buhlungu buyasuka esifubeni sakho?	CMU_1:11	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	and drink lots of fluids	futhi phuza uketshezi oluningi	CMU_1:12	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	and how high has your fever been	futhi imfiva yakho iphakame kakhulu kanganani	CMU_1:13	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	and i have a cough too	futhi ngiyakhwehlela	CMU_1:14	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	and i have a little cold and a cough	futhi nginomkhuhlane nokukhwehlela okuncane	CMU_1:15	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	and i'm really having some bad chest pain today	futhi isifuba sami sibuhlungu kakhulu namuhla	CMU_1:16	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	and is this the right time for your hay fever	futhi ingabe lesi isikhathi esikahle yini sokuphathwa imfiva ebangelwa utshani obomile	CMU_1:17	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	and it get the chest pain	futhi iphathwa isifuba esibuhlungu	CMU_1:18	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	and i think i have a little bit of a fever	futhi ngicabanga ukuthi nginemfiva encane	CMU_1:19	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	and i want you to describe where the chest pain is	futhi ngifuna uchaze ukuthi kubuhlungu kuphi	CMU_1:20	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	and she is sorta have the same symptoms	futhi ucishe abe nezimpawu ezifanayo	CMU_1:21	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	and tell me what symptoms are you having now?	futhi ngitshele ukuthi yiziphi izimpawu onazo manje?	CMU_1:22	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	and they're having some fevers as well	futhi nabo baphethwe izimfiva ezithile	CMU_1:23	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	and with your history of diabetes	futhi ngomlando wakho wesifo sikashukela	CMU_1:24	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	and you know it feels like my chest is like gonna crush	futhi uyazi ukuthi isifuba sami ngathi sizocindezeleka	CMU_1:25	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	and you know people cough on me all the time	futhi uyazi ukuthi abantu bakhwehlela kimina ngaso sonke isikhathi	CMU_1:26	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	and you're having chest pain	futhi uzwa ubuhlungu esifubeni	CMU_1:27	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	and your symptoms do not go away in five days	futhi izimpawu zakho azipheli ezinsukwini eziyisihlanu	CMU_1:28	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	and you said this is a pressure in your chest	futhi uthe lokhu kuyingcindezi esifubeni sakho	CMU_1:29	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	anyone in the family have a heart problem heart disease heart attack high cholesterol high blood pressure	noma ubani emndenini onenkinga yenhliziyo isifo senhliziyo ukuhlaselwa inhliziyo i-cholesterol ephakeme umfutho wegazi ophakeme	CMU_1:30	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	any other symptoms or problems that you notice with the muscle aches?	noma yiziphi ezinye izimpawu noma izinkinga oziphawula nobuhlungu bamalunga omzimba?	CMU_1:31	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	any sharp pain on your left side of your chest?	noma yibuphi ubuhlungu obugwazayo ohlangothi lwesobunxele besifuba sakho?	CMU_1:32	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	are there other people sick as you at home with your same symptoms?	ingabe bakhona abanye abantu abagulayo njengawe ekhaya lakho abanezimpawu ezifanayo?	CMU_1:33	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	are you having any difficulty breathing now	ingabe unenkinga yokuphefumula njengamanje	CMU_1:34	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	are you having any other symptoms?	ingabe unazo ezinye izimpawu?	CMU_1:35	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	are you having any shortness of breath?	ingabe uphelelwa umoya?	CMU_1:36	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	are you still having the chest pain	ingabe usanabo ubuhlungu besifuba	CMU_1:37	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	because this is flu season	ngenxa yokuthi lena inkathi yomkhuhlane	CMU_1:38	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	besides the diabetes do you have other problems or important diseases?	ngaphandle kwesifo sikashukela ingabe unazo ezinye izinkinga noma izifo ezibalulekile?	CMU_1:39	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	but also we shouldn't be put aside for the heart cardiac origin chest pain	kodwa futhi akufanele sibekwe eceleni kubuhlungu besifuba obunomsuka enhliziyweni	CMU_1:40	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	but a more important problem now is this chest pain	kodwa manje inkinga ebaluleke kakhulu yilobu buhlungu besifuba	CMU_1:41	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	but if you have the cough	kodwa uma ukhwehlela	CMU_1:42	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	but i have difficulty breathing	kodwa nginenkinga yokuphefumula	CMU_1:43	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	but i know lot of people cough on me	kodwa ngazi abantu abaningi abangikhwehlelelayo	CMU_1:44	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	but we need to treat every chest pain with the utmost seriousness	kodwa sidinga ukuphatha bonke ubuhlungu besifuba njengento ebucayi	CMU_1:45	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	but you're breathing all right right now right?	kodwa uphefumula kahle njengamanje?	CMU_1:46	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	cause of this chest pain i totally forgot	ngenxa yalobu buhlungu besifuba ngikhohlwe ngokuphelele	CMU_1:47	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	cause they're having a cough	ngenxa yokuthi bayakhwehlela	CMU_1:48	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	does it feel like somebody squeezing your chest	ingabe kuzwakala sengathi othile ucindezela isifuba sakho	CMU_1:49	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	do still feel like shortness of breath	usezwa sengathi uphelelwa umoya	CMU_1:50	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	do they complain of being sick similar symptoms?	ingabe bakhononda ngokugula ngokuba nezimpawu ezifanayo?	CMU_1:51	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	do you have any blood pressure problem as far as you know?	ngokwazi kwakho ingabe unayo noma iyiphi inkinga yomfutho wegazi?	CMU_1:52	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	do you have any other chronic like high blood pressure or anything like that?	ingabe unaso esinye isifo esingumahlalakhona esifana nomfutho wegazi ophakeme nanoma yini efana nalokho?	CMU_1:53	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	do you have any other diseases chronic medical problems like diabetes?	ingabe unazo ezinye izifo izinkinga zokwelashwa ezingamahlalakhona ezifana nesifo sikashukela?	CMU_1:54	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	do you have any shortness of breath with that chest pain?	ingabe unakho ukuphelelwa umoya okuhambisana nalokho buhlungu besifuba?	CMU_1:55	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	do you have high blood pressure?	ingabe unawo umfutho wegazi ophakeme?	CMU_1:56	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	do you have some shortness of breath goes with that?	ingabe unakho ukuphelelwa umoya okuhambisana nalokho?	CMU_1:57	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	do you know what symptoms she was having?	ingabe uyazazi izimpawu abenazo?	CMU_1:58	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	do your relatives have the same symptoms	ingabe izihlobo zakho zinezimpawu ezifanayo	CMU_1:59	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	do you see the image?	ingabe uyasibona isithombe?	CMU_1:60	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	drink plenty of fluids today	phuza uketshezi oluningi namuhla	CMU_1:61	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	have a dry cough a cold and runny nose vomiting diarrhea	unokukhwehlela okomile umkhuhlane nekhala elinamafinyila uyahlanza unesifo sohudo	CMU_1:62	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	however i take tests for the diabetes	nokho ngenza ukuhlolwa kwesifo sikashukela	CMU_1:63	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	however she has symptoms quite similar to mine	nokho unezimpawu ezicishe sifane ncamashi nezami	CMU_1:64	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	how high is your fever?	iphakeme kangakanani imfiva yakho?	CMU_1:65	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	how' s your blood pressure?	unjani umfutho wakho wegazi?	CMU_1:66	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	i don't think i have high blood pressure	angicabangi ukuthi nginomfutho wegazi ophakeme	CMU_1:67	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	i feel a pain in the chest here in the front part of the chest	ngizwa ubuhlungu esifubeni lapha engxenyeni ephambili kwesifuba	CMU_1:68	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	if you continue to have high fevers	uma uqhubeka nokuba nezimfiba eziphakeme	CMU_1:69	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	if you have a fever of a hundred and two or higher	uma unemfiva yekhulu nambili noma ngaphezulu	CMU_1:70	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	if you think that your symptoms or problems warrant a better look	uma ucabanga ukuthi izimpawu zakho noma izinkinga kufanele zithi ukubhekisiswa	CMU_1:71	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	i got a fever yesterday	ngithole imfiva izolo	CMU_1:72	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	i got a slight fever too	nginemfiva encane futhi	CMU_1:73	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	i had a fever yesterday	ngibe nemfiva izolo	CMU_1:74	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	i had a short sharp pain in my chest	ngibe nobuhlungu obufushane obugwazayo esifubeni sami	CMU_1:75	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	i have a sharp pain here in the chest	nginobuhlungu obugwazayo lapha esifubeni	CMU_1:76	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	i have hay fever though too	ngiphethwe futhi imfiva ebangelwa utshani obomile	CMU_1:77	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	i have made on the body around the chest area?	ngenzile emzimbeni eduze kwendawo yesifuba	CMU_1:78	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	i have some difficulty breathing too	nginenkinga futhi yokuphefumula	CMU_1:79	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	i'll send you an image	ngizokuthumela isithombe	CMU_1:80	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	i'm having some chest pain today	nginobuhlungu obuthile esifubeni sami namuhla	CMU_1:81	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	i'm just having some headaches and some fever today	ngiphethwe ikhanda nemfiva ethile namuhla	CMU_1:82	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	in my opinion it is flu	ngokubona kwami umkhuhlane	CMU_1:83	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	in my opinion this is a little flu	ngokubona kwami umkhuhlane omncane	CMU_1:84	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	i see it going from the center of your chest going up to your neck	ngiyabona ukuthi isuka endaweni emaphakathi yesifuba sakho inyukele entanyeni yakho	CMU_1:85	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	is it like some heavy heavy person sitting on your chest?	ingabe kuzwakala sengathi umuntu omkhulu kakhulu uhlezi phezu kwesifuba sakho?	CMU_1:86	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	it all started with the headaches and with the fever about the same time	konke kuqale ngekhanda elibuhlungu kanye nemfiva cishe ngesikhathi esifanayo	CMU_1:87	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	it hurts in the chest	kubuhlungu esifubeni	CMU_1:88	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	it hurts in the middle of my chest	kubuhlungu maphakathi nesifuba sami	CMU_1:89	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	it is a pressure like chest pain	ukucindezeleka okufana nobuhlungu besifuba	CMU_1:90	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	it is in my chest	kusesifubeni sami	CMU_1:91	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	it is in the center of my chest	kumaphakathi nesifuba sami	CMU_1:92	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	it is in the center of the chest	kumaphakathi nesifuba sami	CMU_1:93	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	it is occurring right in the middle of my chest	kwenzeka maphakathi kwesifuba sami	CMU_1:94	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	it is right in the center of my chest	kukhona maphakathi nesifuba sami	CMU_1:95	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
en	zu	it sounds like you just may have the garden variety cold or a flu	kuzwakala sengathi uphethwe umkhuhlane noma iflu evamile	CMU_1:96	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	en_zu_0001
