stringID,sourceLang,targetLang,pos,description,sourceString,targetString
1,en,am,adjective,"In the context of coronavirus (COVID-19): transmissible by direct or indirect contact with an infected person (describes the disease or the virus, not a person).",contagious,ተላላፊ በሽታ
2,en,am,noun,In the context of coronavirus (COVID-19): known cases of people who currently have the disease.,active cases,ንቁ ጉዳዮች
3,en,am,noun,In the context of coronavirus (COVID-19): cases of people infected with the virus which have been confirmed via medical testing.,confirmed cases,የተረጋገጡ በበሽታ የተያዙ ሰዎች
4,en,am,proper noun,"Short for ""Centers for Disease Control and Prevention"": a US federal agency under the Department of Health and Human Services, whose main goal is to protect public health and safety through the control and prevention of disease.",CDC,ሲዲሲ
5,en,am,noun,"A formal name for the disease caused by the SARS-CoV-2 virus, responsible for the 2019/2020 global pandemic.",COVID-19,ኮቪድ-19
6,en,am,noun,In the context of coronavirus (COVID-19): a place where people can be tested for the virus.,COVID-19 testing center,የኮቪድ-19 ምርመራ ማዕከል
7,en,am,noun,"An informal name for the SARS-CoV-2 virus (also known as ""novel coronavirus""), responsible for the 2019/2020 global pandemic of COVID-19 (the disease caused by the virus). Sometimes refers to the entire category of coronaviruses, of which SARS-CoV-2 is just one example.",coronavirus,ኮሮናቫይረስ
8,en,am,noun,"In the context of coronavirus (COVID-19): a mask covering the nose, mouth and/or eyes of the wearer, intended to protect the wearer from spreading or contracting pathogens.",face mask,የፊት ጭንብል
9,en,am,noun,"In the context of coronavirus (COVID-19): can be a person, such as a doctor, but also an organization, such as a hospital or insurance company.",healthcare provider,የጤና እንክብካቤ አቅራቢ
10,en,am,noun,"In the context of coronavirus (COVID-19): a person who works in healthcare, such as a doctor or therapist.",healthcare professional,የጤና እንክብካቤ ባለሙያ
11,en,am,noun,"In the context of coronavirus (COVID-19): the practice of cleaning one's hands, e.g. with water and soap, in order to get rid of the virus and other pathogens.",hand-washing,እጅ መታጠብ
12,en,am,noun,In the context of coronavirus (COVID-19): the period of time between infection and the appearance of symptoms of the disease.,incubation period,መራቢያ ጊዜ
13,en,am,noun,In the context of coronavirus (COVID-19): the practice of separating sick people from healthy people to prevent the spread of disease.,isolation,ማግለል
14,en,am,noun,In the context of the coronavirus (COVID-19): the practice of restricting the movement of healthy people who may have been exposed to the virus to see if they become ill.,quarantine,የተወሰነ ስፍራ መከለል
15,en,am,verb,In the context of the coronavirus (COVID-19): to restrict the movement of healthy people who may have been exposed to the virus to see if they become ill.,quarantine,የተወሰነ ስፍራ መከለል
16,en,am,proper noun,"Short for ""National Institutes of Health Agency"": the primary US government agency responsible for biomedical and public health research; part of the United States Department of Health and Human Services.",NIH,ኤንአይኤች
17,en,am,noun,"In the context of coronavirus (COVID-19): being within a close distance (1-2m) of another person, not necessarily having actual physical contact. Close contact is one possible way for the virus to spread from person to person.",close contact,የቅርብ እውቂያ
18,en,am,noun,In the context of coronavirus (COVID-19): the process of the virus spreading from person to person.,transmission,መተላለፍ
19,en,am,noun,In the context of coronavirus (COVID-19): cases of people infected with the virus which have resulted in the end of the infected person's life.,deaths,ሞቶች
20,en,am,noun,In the context of coronavirus (COVID-19): a place where people can be tested for the virus.,testing center,የምርመራ ማዕከል
21,en,am,verb,"In the context of the coronavirus (COVID-19): to infect new people, in a particular area or globally.",spread,ማሰራጨት
22,en,am,verb,A header for a set of five recommendations surfaced to users looking for coronavirus tips. See: https://www.google.com/search?q=coronavirus+tips&fbx=dothefive,Do the Five,አምስቱን ያድርጉ
23,en,am,proper noun,"A specialized agency of the United Nations that is concerned with world public health. Abbreviated as ""WHO"". See: https://en.wikipedia.org/wiki/World_Health_Organization",World Health Organization,የዓለም ጤና ድርጅት
24,en,am,proper noun,"Short for ""World Health Organization"": a specialized agency of the United Nations that is concerned with world public health. See: https://en.wikipedia.org/wiki/World_Health_Organization",WHO,የዓለም ጤና ድርጅት
25,en,am,,,14 days in isolation,14 ቀናት በማግለያ
26,en,am,,,14 days quarantine,የ 14 ቀናት ለይቶ ማቆያ
27,en,am,,,2019 coronavirus,2019 ኮሮናቫይረስ
28,en,am,,,2019 novel coronavirus,2019 ኖቬል ኮሮናቫይረስ
29,en,am,,,2019-nCoV,2019-ኖኮቭ
30,en,am,,,2020 coronavirus,2020 ኮሮናቫይረስ
31,en,am,,,2020 novel coronavirus,2020 ኖቬል ኮሮናቫይረስ
33,en,am,,,about coronavirus,ስለ ኮሮና ቫይረስ
39,en,am,,,acute respiratory distress syndrome,ስር የሰደደ የመተንፈሻ አካላት ጫና በሽታ ምልክቶች
40,en,am,,,advanced hand sanitizer,ከፍተኛ የእጅ ሳኒታይዘር
41,en,am,,,Affected by coronavirus,በኮሮናቫይረስ የተጠቃ
42,en,am,,,after exposure,ከመጋለጥ በኋላ
43,en,am,,,After the epidemic,ከወረርሽኙ በኋላ
44,en,am,,,After the outbreak,ከመስፋፋቱ በኋላ
47,en,am,,,airborne virus,በአየር የሚተላለፍ ቫይረስ
48,en,am,,,alcohol based hand sanitizer,አልኮል ተኮር የእጅ ሳኒታይዘር
49,en,am,,,alcohol hand sanitizer,የአልኮል እጅ ሳኒታይዘር
51,en,am,,,alcohol-based hand sanitizer,አልኮል-ተኮር የእጅ ሳኒታይዘር
59,en,am,,,Anti-Corona virus spray,ጸረ-ኮሮና ቫይረስ መረጨት
60,en,am,,,antibacterial hand sanitizer,ጸረባክቴሪያ የእጅ ሳኒታይዘር
61,en,am,,,ARDS,ARDS
64,en,am,,,avoid exposure,ተጋላጭነትን ያስቀሩ
65,en,am,,,be infected,መያዝ
75,en,am,,,Beware of coronavirus,ከቫይረሱ ይጠንቀቁ
76,en,am,,,bilateral interstitial pneumonia,የጋራ መፈጠር ሳንባ ምች
77,en,am,,,CDC,CDC
78,en,am,,,Center for Disease Control,የበሽታ መቆጣጠሪያ ማዕከል
83,en,am,,,community spread,የማህበረሰብ ስርጭት
84,en,am,,,compulsory quarantine,አስገዳጅ ለይቶ ማቆያ
85,en,am,,,contagious,ተላላፊ
135,en,am,,,coronavirus,ኮሮናቫይረስ
136,en,am,,,coronavirus (COVID-19),ኮሮናቫይረስ (ኮቪድ-19)
137,en,am,,,coronavirus alert,የኮሮና ቫይረስ ማስጠንቀቂያ
139,en,am,,,coronavirus cases,የኮሮና ቫይረስ ኬዞች
141,en,am,,,coronavirus concerns,የኮሮናቫይረስ ትኩረቶች
143,en,am,,,coronavirus crisis,የኮሮናቫይረስ ቀውስ
149,en,am,,,coronavirus disease,የኮሮናቫይረስ በሸታ
150,en,am,,,Coronavirus disease (COVID-19) outbreak,የኮሮናቫይረስ በሽታ (ኮቪድ-19) መስፋፋት
153,en,am,,,coronavirus early symptoms,የኮሮናቫይረስ ቅድመ ምልክቶች
155,en,am,,,coronavirus epidemic,የኮሮናቫይረስ ወረርሽኝ
156,en,am,,,coronavirus exposure,የኮሮናቫይረስ ተጋላጭነት
161,en,am,,,coronavirus incubation,የኮሮናቫይረስ በሽታ መታየት
162,en,am,,,coronavirus incubation period,የኮሮናቫይረስ ምልክት እስከሚታይ ያለው ጊዜ
163,en,am,,,coronavirus infection,የኮሮናቫይረስ ኢንፌክሽን
168,en,am,,,coronavirus map,የኮሮናቫይረስ ካርታ
170,en,am,,,coronavirus medicine,የኮሮናቫይረስ መድሃኒት
171,en,am,,,coronavirus medicines,የኮሮናቫይረስ መድሃኒቶች
172,en,am,,,coronavirus news,የኮሮናቫይረስ ዜና
173,en,am,,,coronavirus outbreak,የኮኖናቫይረስ መስፋፋት
174,en,am,,,coronavirus pandemic,የኮሮናቫይረስ ወረርሽኝ
176,en,am,,,coronavirus pneumonia,ኮሮናቫይረስ የሳንባ ምች
