stringID,sourceLang,targetLang,pos,description,sourceString,targetString
1,en,fi,adjective,"In the context of coronavirus (COVID-19): transmissible by direct or indirect contact with an infected person (describes the disease or the virus, not a person).",contagious,tarttuva
2,en,fi,noun,In the context of coronavirus (COVID-19): known cases of people who currently have the disease.,active cases,aktiiviset tapaukset
3,en,fi,noun,In the context of coronavirus (COVID-19): cases of people infected with the virus which have been confirmed via medical testing.,confirmed cases,vahvistetut tapaukset
4,en,fi,proper noun,"Short for ""Centers for Disease Control and Prevention"": a US federal agency under the Department of Health and Human Services, whose main goal is to protect public health and safety through the control and prevention of disease.",CDC,CDC
5,en,fi,noun,"A formal name for the disease caused by the SARS-CoV-2 virus, responsible for the 2019/2020 global pandemic.",COVID-19,COVID-19
6,en,fi,noun,In the context of coronavirus (COVID-19): a place where people can be tested for the virus.,COVID-19 testing center,COVID-19-testauskeskus
7,en,fi,noun,"An informal name for the SARS-CoV-2 virus (also known as ""novel coronavirus""), responsible for the 2019/2020 global pandemic of COVID-19 (the disease caused by the virus). Sometimes refers to the entire category of coronaviruses, of which SARS-CoV-2 is just one example.",coronavirus,koronavirus
8,en,fi,noun,"In the context of coronavirus (COVID-19): a mask covering the nose, mouth and/or eyes of the wearer, intended to protect the wearer from spreading or contracting pathogens.",face mask,hengityssuojain
9,en,fi,noun,"In the context of coronavirus (COVID-19): can be a person, such as a doctor, but also an organization, such as a hospital or insurance company.",healthcare provider,terveyspalvelujen tarjoaja
10,en,fi,noun,"In the context of coronavirus (COVID-19): a person who works in healthcare, such as a doctor or therapist.",healthcare professional,terveydenhuollon ammattilainen
11,en,fi,noun,"In the context of coronavirus (COVID-19): the practice of cleaning one's hands, e.g. with water and soap, in order to get rid of the virus and other pathogens.",hand-washing,käsienpesu
12,en,fi,noun,In the context of coronavirus (COVID-19): the period of time between infection and the appearance of symptoms of the disease.,incubation period,itämisaika
13,en,fi,noun,In the context of coronavirus (COVID-19): the practice of separating sick people from healthy people to prevent the spread of disease.,isolation,eristys
14,en,fi,noun,In the context of the coronavirus (COVID-19): the practice of restricting the movement of healthy people who may have been exposed to the virus to see if they become ill.,quarantine,karanteeni
15,en,fi,verb,In the context of the coronavirus (COVID-19): to restrict the movement of healthy people who may have been exposed to the virus to see if they become ill.,quarantine,asettaa karanteeniin
16,en,fi,proper noun,"Short for ""National Institutes of Health Agency"": the primary US government agency responsible for biomedical and public health research; part of the United States Department of Health and Human Services.",NIH,NIH
17,en,fi,noun,"In the context of coronavirus (COVID-19): being within a close distance (1-2m) of another person, not necessarily having actual physical contact. Close contact is one possible way for the virus to spread from person to person.",close contact,lähikontakti
18,en,fi,noun,In the context of coronavirus (COVID-19): the process of the virus spreading from person to person.,transmission,tarttuminen
19,en,fi,noun,In the context of coronavirus (COVID-19): cases of people infected with the virus which have resulted in the end of the infected person's life.,deaths,kuolemat
20,en,fi,noun,In the context of coronavirus (COVID-19): a place where people can be tested for the virus.,testing center,testauskeskus
21,en,fi,verb,"In the context of the coronavirus (COVID-19): to infect new people, in a particular area or globally.",spread,levitä
22,en,fi,verb,A header for a set of five recommendations surfaced to users looking for coronavirus tips. See: https://www.google.com/search?q=coronavirus+tips&fbx=dothefive,Do the Five,Tee nämä viisi
23,en,fi,proper noun,"A specialized agency of the United Nations that is concerned with world public health. Abbreviated as ""WHO"". See: https://en.wikipedia.org/wiki/World_Health_Organization",World Health Organization,Maailman terveysjärjestö
24,en,fi,proper noun,"Short for ""World Health Organization"": a specialized agency of the United Nations that is concerned with world public health. See: https://en.wikipedia.org/wiki/World_Health_Organization",WHO,WHO
25,en,fi,,,14 days in isolation,14 päivää eristyksissä
26,en,fi,,,14 days quarantine,14 päivän karanteeni
27,en,fi,,,2019 coronavirus,2019 koronavirus
28,en,fi,,,2019 novel coronavirus,2019 uusi koronavirus
29,en,fi,,,2019-nCoV,2019-nCov
30,en,fi,,,2020 coronavirus,2020 koronavirus
31,en,fi,,,2020 novel coronavirus,2020 uusi koronavirus
33,en,fi,,,about coronavirus,koronaviruksesta
39,en,fi,,,acute respiratory distress syndrome,Äkillinen hengitysvaikeusoireyhtymä
40,en,fi,,,advanced hand sanitizer,kehittyneempi käsien desinfiointiaine
