stringID,sourceLang,targetLang,pos,description,sourceString,targetString
1,en,fr-CA,adjective,"In the context of coronavirus (COVID-19): transmissible by direct or indirect contact with an infected person (describes the disease or the virus, not a person).",contagious,contagieux
2,en,fr-CA,noun,In the context of coronavirus (COVID-19): known cases of people who currently have the disease.,active cases,cas actifs
3,en,fr-CA,noun,In the context of coronavirus (COVID-19): cases of people infected with the virus which have been confirmed via medical testing.,confirmed cases,cas confirmés
4,en,fr-CA,proper noun,"Short for ""Centers for Disease Control and Prevention"": a US federal agency under the Department of Health and Human Services, whose main goal is to protect public health and safety through the control and prevention of disease.",CDC,CDC
5,en,fr-CA,noun,"A formal name for the disease caused by the SARS-CoV-2 virus, responsible for the 2019/2020 global pandemic.",COVID-19,COVID-19 [feminine]
6,en,fr-CA,noun,In the context of coronavirus (COVID-19): a place where people can be tested for the virus.,COVID-19 testing center,centre de dépistage de la COVID-19
7,en,fr-CA,noun,"An informal name for the SARS-CoV-2 virus (also known as ""novel coronavirus""), responsible for the 2019/2020 global pandemic of COVID-19 (the disease caused by the virus). Sometimes refers to the entire category of coronaviruses, of which SARS-CoV-2 is just one example.",coronavirus,coronavirus
8,en,fr-CA,noun,"In the context of coronavirus (COVID-19): a mask covering the nose, mouth and/or eyes of the wearer, intended to protect the wearer from spreading or contracting pathogens.",face mask,masque
9,en,fr-CA,noun,"In the context of coronavirus (COVID-19): can be a person, such as a doctor, but also an organization, such as a hospital or insurance company.",healthcare provider,fournisseur de soins de santé
10,en,fr-CA,noun,"In the context of coronavirus (COVID-19): a person who works in healthcare, such as a doctor or therapist.",healthcare professional,professionnel de la santé
11,en,fr-CA,noun,"In the context of coronavirus (COVID-19): the practice of cleaning one's hands, e.g. with water and soap, in order to get rid of the virus and other pathogens.",hand-washing,lavage des mains
12,en,fr-CA,noun,In the context of coronavirus (COVID-19): the period of time between infection and the appearance of symptoms of the disease.,incubation period,période d'incubation
13,en,fr-CA,noun,In the context of coronavirus (COVID-19): the practice of separating sick people from healthy people to prevent the spread of disease.,isolation,isolement
14,en,fr-CA,noun,In the context of the coronavirus (COVID-19): the practice of restricting the movement of healthy people who may have been exposed to the virus to see if they become ill.,quarantine,quarantaine
15,en,fr-CA,verb,In the context of the coronavirus (COVID-19): to restrict the movement of healthy people who may have been exposed to the virus to see if they become ill.,quarantine,mettre en quarantaine
16,en,fr-CA,proper noun,"Short for ""National Institutes of Health Agency"": the primary US government agency responsible for biomedical and public health research; part of the United States Department of Health and Human Services.",NIH,NIH
17,en,fr-CA,noun,"In the context of coronavirus (COVID-19): being within a close distance (1-2m) of another person, not necessarily having actual physical contact. Close contact is one possible way for the virus to spread from person to person.",close contact,contact rapproché
18,en,fr-CA,noun,In the context of coronavirus (COVID-19): the process of the virus spreading from person to person.,transmission,transmission
19,en,fr-CA,noun,In the context of coronavirus (COVID-19): cases of people infected with the virus which have resulted in the end of the infected person's life.,deaths,décès
20,en,fr-CA,noun,In the context of coronavirus (COVID-19): a place where people can be tested for the virus.,testing center,centre de dépistage
21,en,fr-CA,verb,"In the context of the coronavirus (COVID-19): to infect new people, in a particular area or globally.",spread,se propager
22,en,fr-CA,verb,A header for a set of five recommendations surfaced to users looking for coronavirus tips. See: https://www.google.com/search?q=coronavirus+tips&fbx=dothefive,Do the Five,Suivre ces cinq recommandations
23,en,fr-CA,proper noun,"A specialized agency of the United Nations that is concerned with world public health. Abbreviated as ""WHO"". See: https://en.wikipedia.org/wiki/World_Health_Organization",World Health Organization,Organisation mondiale de la Santé
24,en,fr-CA,proper noun,"Short for ""World Health Organization"": a specialized agency of the United Nations that is concerned with world public health. See: https://en.wikipedia.org/wiki/World_Health_Organization",WHO,OMS
