stringID,sourceLang,targetLang,pos,description,sourceString,targetString
1,en,hi,adjective,"In the context of coronavirus (COVID-19): transmissible by direct or indirect contact with an infected person (describes the disease or the virus, not a person).",contagious,संक्रामक
2,en,hi,noun,In the context of coronavirus (COVID-19): known cases of people who currently have the disease.,active cases,ऐक्टिव केस
3,en,hi,noun,In the context of coronavirus (COVID-19): cases of people infected with the virus which have been confirmed via medical testing.,confirmed cases,वे केस जिनकी पुष्टि हो चुकी है
4,en,hi,proper noun,"Short for ""Centers for Disease Control and Prevention"": a US federal agency under the Department of Health and Human Services, whose main goal is to protect public health and safety through the control and prevention of disease.",CDC,सीडीसी
5,en,hi,noun,"A formal name for the disease caused by the SARS-CoV-2 virus, responsible for the 2019/2020 global pandemic.",COVID-19,COVID-19
6,en,hi,noun,In the context of coronavirus (COVID-19): a place where people can be tested for the virus.,COVID-19 testing center,COVID-19 के लिए जांच केंद्र
7,en,hi,noun,"An informal name for the SARS-CoV-2 virus (also known as ""novel coronavirus""), responsible for the 2019/2020 global pandemic of COVID-19 (the disease caused by the virus). Sometimes refers to the entire category of coronaviruses, of which SARS-CoV-2 is just one example.",coronavirus,कोरोना वायरस
8,en,hi,noun,"In the context of coronavirus (COVID-19): a mask covering the nose, mouth and/or eyes of the wearer, intended to protect the wearer from spreading or contracting pathogens.",face mask,मास्क
9,en,hi,noun,"In the context of coronavirus (COVID-19): can be a person, such as a doctor, but also an organization, such as a hospital or insurance company.",healthcare provider,स्वास्थ्य सेवाएं देने वाला
10,en,hi,noun,"In the context of coronavirus (COVID-19): a person who works in healthcare, such as a doctor or therapist.",healthcare professional,डॉक्टर
11,en,hi,noun,"In the context of coronavirus (COVID-19): the practice of cleaning one's hands, e.g. with water and soap, in order to get rid of the virus and other pathogens.",hand-washing,हाथ धोना
12,en,hi,noun,In the context of coronavirus (COVID-19): the period of time between infection and the appearance of symptoms of the disease.,incubation period,बीमारी के लक्षण दिखने की अवधि
13,en,hi,noun,In the context of coronavirus (COVID-19): the practice of separating sick people from healthy people to prevent the spread of disease.,isolation,बीमार लोगों को स्वस्थ लोगों से अलग रखना
14,en,hi,noun,In the context of the coronavirus (COVID-19): the practice of restricting the movement of healthy people who may have been exposed to the virus to see if they become ill.,quarantine,क्वॉरंटीन
15,en,hi,verb,In the context of the coronavirus (COVID-19): to restrict the movement of healthy people who may have been exposed to the virus to see if they become ill.,quarantine,क्वॉरंटीन करना
16,en,hi,proper noun,"Short for ""National Institutes of Health Agency"": the primary US government agency responsible for biomedical and public health research; part of the United States Department of Health and Human Services.",NIH,एनआईएच
17,en,hi,noun,"In the context of coronavirus (COVID-19): being within a close distance (1-2m) of another person, not necessarily having actual physical contact. Close contact is one possible way for the virus to spread from person to person.",close contact,नज़दीकी संपर्क
18,en,hi,noun,In the context of coronavirus (COVID-19): the process of the virus spreading from person to person.,transmission,बीमारी का एक व्यक्ति से दूसरे व्यक्ति में पहुंचना (ट्रांसमिशन)
19,en,hi,noun,In the context of coronavirus (COVID-19): cases of people infected with the virus which have resulted in the end of the infected person's life.,deaths,मौतें
20,en,hi,noun,In the context of coronavirus (COVID-19): a place where people can be tested for the virus.,testing center,जांच केंद्र
21,en,hi,verb,"In the context of the coronavirus (COVID-19): to infect new people, in a particular area or globally.",spread,फैलाना
22,en,hi,verb,A header for a set of five recommendations surfaced to users looking for coronavirus tips. See: https://www.google.com/search?q=coronavirus+tips&fbx=dothefive,Do the Five,ये पांच काम करें
23,en,hi,proper noun,"A specialized agency of the United Nations that is concerned with world public health. Abbreviated as ""WHO"". See: https://en.wikipedia.org/wiki/World_Health_Organization",World Health Organization,विश्व स्वास्थ्य संगठन
24,en,hi,proper noun,"Short for ""World Health Organization"": a specialized agency of the United Nations that is concerned with world public health. See: https://en.wikipedia.org/wiki/World_Health_Organization",WHO,डब्ल्यूएचओ
25,en,hi,,,14 days in isolation,14 दिन एकांत में
26,en,hi,,,14 days quarantine,14 दिन संगरोध
27,en,hi,,,2019 coronavirus,2019 कोरोनावाइरस
28,en,hi,,,2019 novel coronavirus,2019 नॉवल कोरोनावाइरस
29,en,hi,,,2019-nCoV,2019-nCoV
30,en,hi,,,2020 coronavirus,2020 कोरोनावाइरस
31,en,hi,,,2020 novel coronavirus,2020 नॉवल कोरोनावाइरस
33,en,hi,,,about coronavirus,कोरोनावाइरस के बारे में
39,en,hi,,,acute respiratory distress syndrome,तीव्र श्वसनतंत्र संबंधी कठिनाई रोग
40,en,hi,,,advanced hand sanitizer,उन्नत हैंड सेनिटाइज़र
41,en,hi,,,Affected by coronavirus,कोरोनावाइरस द्वारा प्रभावित
42,en,hi,,,after exposure,संपर्क के बाद
43,en,hi,,,After the epidemic,महामारी के बाद
44,en,hi,,,After the outbreak,प्रकोप के बाद
47,en,hi,,,airborne virus,वायुवाहित वाइरस
48,en,hi,,,alcohol based hand sanitizer,अल्कोहॉल आधारित हैंड सेनिटाइज़र
49,en,hi,,,alcohol hand sanitizer,अल्कोहॉल हैंड सेनिटाइज़र
51,en,hi,,,alcohol-based hand sanitizer,अल्कोहॉल आधारित हैंड सेनिटाइज़र
59,en,hi,,,Anti-Corona virus spray,कोरोना वाइरस-रोधी स्प्रे
60,en,hi,,,antibacterial hand sanitizer,एंटीबैक्टिरियल हैंड सेनिटाइज़र
61,en,hi,,,ARDS,ARDS
64,en,hi,,,avoid exposure,संपर्क से बचें
65,en,hi,,,be infected,संक्रमित होना
75,en,hi,,,Beware of coronavirus,कोरोनावाइरस से सावधान रहें
76,en,hi,,,bilateral interstitial pneumonia,द्विपक्षी अंतरालीय न्यूमोनिया
77,en,hi,,,CDC,CDC
78,en,hi,,,Center for Disease Control,रोग नियंत्रण केन्द्र
83,en,hi,,,community spread,सामुदायिक फैलाव
84,en,hi,,,compulsory quarantine,अनिवार्य संगरोध
85,en,hi,,,contagious,संक्रामक
135,en,hi,,,coronavirus,कोरोनावाइरस
136,en,hi,,,coronavirus (COVID-19),कोरोनावाइरस (कोविड-19)
137,en,hi,,,coronavirus alert,कोरोनावाइरस अलर्ट
139,en,hi,,,coronavirus cases,कोरोनावाइरस के केस
141,en,hi,,,coronavirus concerns,कोरोनावाइरस चिंताएं
143,en,hi,,,coronavirus crisis,कोरोनावाइरस आपातस्थिति
149,en,hi,,,coronavirus disease,कोरोनावाइरस रोग
150,en,hi,,,Coronavirus disease (COVID-19) outbreak,कोरोनावाइरस रोग (कोविड-19) प्रकोप
153,en,hi,,,coronavirus early symptoms,कोरोनावाइरस शुरुआती लक्षण
155,en,hi,,,coronavirus epidemic,कोरोनावाइरस महामारी
156,en,hi,,,coronavirus exposure,कोरोनावाइरस संसर्ग
161,en,hi,,,coronavirus incubation,कोरोनावाइरस रोगोद्भव
162,en,hi,,,coronavirus incubation period,कोरोनावाइरस उद्भवन अवधि
163,en,hi,,,coronavirus infection,कोरोनावाइरस संक्रमण
168,en,hi,,,coronavirus map,कोरोनावाइरस नक्शा
170,en,hi,,,coronavirus medicine,कोरोनावाइरस दवा
171,en,hi,,,coronavirus medicines,कोरोनावाइरस दवाइयाँ
172,en,hi,,,coronavirus news,कोरोनावाइरस खबरें
173,en,hi,,,coronavirus outbreak,कोरोनावाइरस प्रकोप
174,en,hi,,,coronavirus pandemic,कोरोनावाइरस महामारी
176,en,hi,,,coronavirus pneumonia,कोरोनावाइरस न्यूमोनिया
177,en,hi,,,coronavirus precautions,कोरोनावाइरस एहतियात
178,en,hi,,,coronavirus prevention,कोरोनावाइरस रोकथाम
179,en,hi,,,coronavirus protection,कोरोनावाइरस सुरक्षा
180,en,hi,,,coronavirus quarantine,कोरोनावाइरस संगरोध
182,en,hi,,,coronavirus SOS Alert,कोरोनावाइरस आापातकालीन अलर्ट
183,en,hi,,,coronavirus spread,कोरोनावाइरस फैलाव
184,en,hi,,,coronavirus symptoms,कोरोनावाइरस लक्षण
185,en,hi,,,coronavirus transmission,कोरोनावाइरस संचरण
186,en,hi,,,coronavirus travel ban,कोरोनावाइरस यात्रा प्रतिबंध
187,en,hi,,,coronavirus travel restrictions,कोरोनावाइरस यात्रा नियंत्रण
188,en,hi,,,coronavirus treatment,कोरोनावाइरस उपचार
190,en,hi,,,coronavirus update,कोरोनावाइरस अपडेट
191,en,hi,,,coronavirus vaccine,कोरोनावाइरस टीका
192,en,hi,,,coronavirus vaccines,कोरोनावाइरस टीके
198,en,hi,,,covid cases,कोविड के केस
205,en,hi,,,covid early symptoms,कोविड शुरुआती लक्षण
213,en,hi,,,covid incubation period,कोविड उद्भवन अवधि
215,en,hi,,,covid international spread,कोविड अंतर्राष्ट्रीय फैलाव
216,en,hi,,,covid international travel,कोविड अंतर्राष्ट्रीय यात्रा
217,en,hi,,,covid isolation,कोविड एकांत
219,en,hi,,,covid map,कोविड नक्शा
220,en,hi,,,covid medicine,कोविड दवा
221,en,hi,,,covid medicines,कोविड दवाइयाँ
222,en,hi,,,covid news,कोविड खबरें
223,en,hi,,,covid outbreak,कोविड का प्रकोप
224,en,hi,,,covid pandemic,कोविड महामारी
225,en,hi,,,covid panic,कोविड घबड़ाहट
228,en,hi,,,covid SOS Alert,कोविड आपातकालीन अलर्ट
230,en,hi,,,covid symptoms,कोविड के लक्षण
231,en,hi,,,covid transmission,कोविड का संचरण
232,en,hi,,,covid travel ban,कोविड यात्रा प्रतिबंध
233,en,hi,,,covid travel restrictions,कोविड यात्रा नियंत्रण
234,en,hi,,,covid treatment,कोविड का उपचार
236,en,hi,,,covid vaccine,कोविड का टीका
237,en,hi,,,covid vaccines,कोविड के टीका
242,en,hi,,,covid-19,कोविड-19
243,en,hi,,,covid-19 alert,कोविड-19 अलर्ट
244,en,hi,,,covid-19 cases,कोविड-19 केस
245,en,hi,,,covid-19 CDC,कोविड-19 CDC
246,en,hi,,,covid-19 contagious,कोविड-19 संक्रामक
247,en,hi,,,covid-19 cure,कोविड-19 इलाज
248,en,hi,,,covid-19 dangerous,कोविड-19 जोखिमकारी
249,en,hi,,,covid-19 deadly,कोविड-19 जानलेवा
250,en,hi,,,covid-19 death,कोविड-19 मौत
251,en,hi,,,covid-19 deaths,कोविड-19 मौतें
252,en,hi,,,covid-19 domestic travel,कोविड-19 अंतर्देशीय यात्रा
253,en,hi,,,covid-19 early symptoms,कोविड-19 शुरुआती लक्षण
254,en,hi,,,covid-19 effects,कोविड-19 के प्रभाव
255,en,hi,,,covid-19 epidemic,कोविड-19 महामारी
256,en,hi,,,covid-19 exposure,कोविड-19 संसर्ग
257,en,hi,,,covid-19 fatal,कोविड-19 प्राणघातक
258,en,hi,,,covid-19 fever,कोविड-19 बुखार
259,en,hi,,,covid-19 illness,कोविड-19 बीमारी
260,en,hi,,,covid-19 incubation,कोविड-19 उद्भवन
261,en,hi,,,covid-19 incubation period,कोविड-19 उद्भवन अवधि
262,en,hi,,,covid-19 infection,कोविड-19 संक्रमण
263,en,hi,,,covid-19 international spread,कोविड-19 अंतर्राष्ट्रीय फैलाव
264,en,hi,,,covid-19 international travel,कोविड-19 अंतर्राष्ट्रीय यात्रा
265,en,hi,,,covid-19 isolation,कोविड-19 एकांत
266,en,hi,,,covid-19 lockdown,कोविड-19 लॉकडाउन
267,en,hi,,,covid-19 map,कोविड-19 नक्शा
268,en,hi,,,covid-19 medicine,कोविड-19 दवा
269,en,hi,,,covid-19 medicines,कोविड-19 दवाइयाँ
270,en,hi,,,covid-19 news,कोविड-19 खबरें
271,en,hi,,,covid-19 outbreak,कोविड-19 प्रकोप
272,en,hi,,,covid-19 pandemic,कोविड-19 महामारी
273,en,hi,,,covid-19 panic,कोविड-19 घबड़ाहट
275,en,hi,,,covid-19 precautions,कोविड-19 के एहतियात
276,en,hi,,,covid-19 protection,कोविड-19 से सुरक्षा
277,en,hi,,,covid-19 quarantine,कोविड-19 संगरोध
278,en,hi,,,covid-19 SOS Alert,कोविड-19 आपातकालीन अलर्ट
279,en,hi,,,covid-19 spread,कोविड-19 फैलाव
280,en,hi,,,covid-19 symptoms,कोविड-19 के लक्षण
281,en,hi,,,covid-19 transmission,कोविड-19 संचरण
282,en,hi,,,covid-19 travel ban,कोविड-19 यात्रा प्रतिबंध
283,en,hi,,,covid-19 travel restrictions,कोविड-19 यात्रा नियंत्रण
284,en,hi,,,covid-19 treatment,कोविड-19 उपचार
285,en,hi,,,covid-19 uncontrolled spread,कोविड-19 अनियंत्रित फैलाव
286,en,hi,,,covid-19 vaccine,कोविड-19 टीका
287,en,hi,,,covid-19 vaccines,कोविड-19 टीके
288,en,hi,,,COVID-19 virus,कोविड-19 वाइरस
289,en,hi,,,covid-19 virus outbreak,कोविड-19 वाइरस का प्रकोप
290,en,hi,,,covid-19 virus transmission,कोविड-19 वाइरस संचरण
291,en,hi,,,covid-19 WHO,कोविड-19 WHO
292,en,hi,,,covid19,कोविड19
293,en,hi,,,covid19 alert,कोविड19 अलर्ट
294,en,hi,,,covid19 cases,कोविड19 के केस
295,en,hi,,,covid19 CDC,कोविड19 CDC
301,en,hi,,,covid19 deaths,कोविड19 मौतें
302,en,hi,,,covid19 domestic travel,कोविड19 अंतर्देशीय यात्रा
303,en,hi,,,covid19 effects,कोविड19 के प्रभाव
304,en,hi,,,covid19 epidemic,कोविड19 महामारी
305,en,hi,,,covid19 exposure,कोविड19 संपर्क
306,en,hi,,,covid19 fatal,कोविड19 प्राणघातक
307,en,hi,,,covid19 fever,कोविड19 बुखार
308,en,hi,,,covid19 illness,कोविड19 बिमारी
309,en,hi,,,covid19 incubation,कोविड19 उद्भवन
310,en,hi,,,covid19 incubation period,कोविड19 उद्भवन अवधि
311,en,hi,,,covid19 infection,कोविड19 संक्रमण
312,en,hi,,,covid19 international spread,कोविड19 अंतर्राष्ट्रीय फैलाव
313,en,hi,,,covid19 international travel,कोविड19 अंतर्राष्ट्रीय यात्रा
314,en,hi,,,covid19 isolation,कोविड19 एकांत
315,en,hi,,,covid19 lockdown,कोविड19 लॉकडाउन
316,en,hi,,,covid19 map,कोविड19 नक्शा
317,en,hi,,,covid19 medicine,कोविड19 दवा
318,en,hi,,,covid19 medicines,कोविड19 दवाइयाँ
319,en,hi,,,covid19 news,कोविड19 खबरें
320,en,hi,,,covid19 outbreak,कोविड19 प्रकोप
321,en,hi,,,covid19 pandemic,कोविड19 सर्वव्यापी महामारी
324,en,hi,,,covid19 precautions,कोविड19 सावधानियाँ
325,en,hi,,,covid19 protection,कोविड19 सुरक्षा
326,en,hi,,,covid19 quarantine,कोविड19 संगरोध
327,en,hi,,,covid19 SOS Alert,कोविड19 आपातस्थिति अलर्ट
328,en,hi,,,covid19 spread,कोविड19 फैलाव
329,en,hi,,,covid19 symptoms,कोविडन19 के लक्षण
330,en,hi,,,covid19 transmission,कोविड19 संचरण
331,en,hi,,,covid19 travel ban,कोवड19 यात्रा प्रतिबंध
332,en,hi,,,covid19 travel restrictions,कोविड19 यात्रा नियंत्रण
333,en,hi,,,covid19 treatment,कोविड19 उपचार
335,en,hi,,,covid19 vaccine,कोविड19 टीका
336,en,hi,,,covid19 vaccines,कोविड19 के टीके
337,en,hi,,,covid19 virus,कोविड19 वाइरस
338,en,hi,,,covid19 virus outbreak,कोविड19 वाइरस का प्रकोप
339,en,hi,,,covid19 virus transmission,कोविड19 वाइरस का संचरण
342,en,hi,,,current outbreak,मौजूदा प्रकोप
343,en,hi,,,deadly outbreak,जानलेवा प्रकोप
345,en,hi,,,disease outbreak,रोग का प्रकोप
346,en,hi,,,Disposable hand sanitizer,उपयोग के बाद फेक देने लायक हैंड सेनिटाइज़र
348,en,hi,,,domestic travel,देश के भीतर यात्रा
351,en,hi,,,droplets,बूंदें
357,en,hi,,,Effects of coronavirus,कोरोनावाइरस के प्रभाव
359,en,hi,,,epidemic,महामारी
360,en,hi,,,epidemic and pandemic,महामारी और सर्वव्यापी महामारी
362,en,hi,,,epidemic disease,महामारी रोग
364,en,hi,,,epidemic outbreak,महामारी का प्रकोप
365,en,hi,,,epidemic period,महामारी की अवधि
366,en,hi,,,epidemic prevention,महामारी की रोकथाम
368,en,hi,,,epidemic season,महामारी का सीज़न
369,en,hi,,,epidemic situation,महामारी की स्थिति
371,en,hi,,,exposure,संसर्ग
375,en,hi,,,exposure time,संसर्ग का समय
379,en,hi,,,fever,बुखार
380,en,hi,,,fight the virus,वाइरस से लड़ें
381,en,hi,,,Fighting the outbreak,प्रकोप से लड़ना
382,en,hi,,,flu epidemic,फ्लू महामारी
385,en,hi,,,fomites,फोमाइट
392,en,hi,,,global health emergency,वैश्विक स्वास्थ्य संबंधी आपातस्थिति
393,en,hi,,,global outbreak,वैश्विक प्रकोप
394,en,hi,,,global pandemic,वैश्विक सर्वव्यापी महामारी
396,en,hi,,,hand sanitizer,हैंड सैनिटाइज़र
397,en,hi,,,hand sanitizer dispenser,हैंड सेनिटाइज़र डिस्पेन्सर
398,en,hi,,,hand sanitizer gel,हैंड सेनिटाइज़र जेल
399,en,hi,,,hand sanitizer spray,हैंड सेनिटाइज़र स्प्रे
403,en,hi,,,home isolation,घर में एकांत
404,en,hi,,,home quarantine,घर में संगरोध
410,en,hi,,,illness,बीमारी
415,en,hi,,,incubation period,उद्भवन
418,en,hi,,,infected,संक्रमित
424,en,hi,,,instant hand sanitizer,इन्स्टंट हैंड सेनिटाइज़र
425,en,hi,,,international spread,अंतर्राष्ट्रीय फैलाव
426,en,hi,,,international travel,अंतर्राष्ट्रीय यात्रा
427,en,hi,,,isolation,एकांत
428,en,hi,,,isolation period,एकांत अवधि
430,en,hi,,,isolation room,एकांत कमरा
431,en,hi,,,isolation valve,विलगन वाल्व
432,en,hi,,,isolation ward,एकांत वॉर्ड
434,en,hi,,,lockdown,लॉकडाउन
438,en,hi,,,major outbreak,बड़ा प्रकोप
439,en,hi,,,mandatory quarantine,अनिवार्य संगरोध
440,en,hi,,,mass gathering,विशाल सम्मेलन
444,en,hi,,,medicine,दवा
445,en,hi,,,medicines,दवाइयाँ
448,en,hi,,,n95,n95
449,en,hi,,,n95 mask,n95 नकाब
450,en,hi,,,n95 respirator,n95 रेस्पिरेटर
451,en,hi,,,ncov,ncov
452,en,hi,,,ncov-2019,ncov-2019
453,en,hi,,,new coronavirus,नया कोरोनावाइरस
454,en,hi,,,new coronavirus pneumonia,नया कोरोनावाइरस न्यूमोनिया
460,en,hi,,,novel coronavirus,नॉवल कोरोनावाइरस
462,en,hi,,,novel coronavirus infection,नॉवल कोरोनावाइरस संक्रमण
463,en,hi,,,novel coronavirus outbreak,नॉवल कोरोनावाइरस प्रकोप
464,en,hi,,,novel coronavirus pneumonia,नॉवल कोरोनावाइरस न्यूमोनिया
470,en,hi,,,ongoing outbreak,जारी प्रकोप
472,en,hi,,,outbreak,प्रकोप
474,en,hi,,,outbreak of coronavirus,कोरोनावाइरस का प्रकोप
475,en,hi,,,outbreak of disease,रोग का प्रकोप
482,en,hi,,,pandemic,सर्वव्यापी महामारी
485,en,hi,,,pandemic influenza,सर्वव्यापी महामारी इन्फ्लूएंज़ा
486,en,hi,,,pandemic outbreak,सर्वव्यापी महामारी का प्रकोप
487,en,hi,,,pandemic plan,सर्वव्यापी महामारी योजना
488,en,hi,,,pandemic potential,सर्वव्यापी महामारी संभावना
495,en,hi,,,pneumonia,न्यूमोनिया
496,en,hi,,,pneumonia epidemic,न्यूमोनिया महामारी
497,en,hi,,,potential exposure,संभवित संपर्क
498,en,hi,,,precautions,एहतियात
499,en,hi,,,prevent virus,वाइरस की रोकथाम
500,en,hi,,,prolonged exposure,चिरकालिक संपर्क
504,en,hi,,,quarantine,संगरोध
505,en,hi,,,quarantine area,संगरोध क्षेत्र
506,en,hi,,,quarantine facility,संगरोध सुविधा
507,en,hi,,,quarantine measures,संगरोध उपाय
508,en,hi,,,quarantine period,संगरोध अवधि
509,en,hi,,,quarantine room,संगरोध कमरा
510,en,hi,,,quarantine zone,संगरोध क्षेत्र
512,en,hi,,,Recovered coronavirus patient,ठीक हुए कोरोनावाइरस मरीज़
514,en,hi,,,repatriate,स्वदेश लौटूँ
515,en,hi,,,repeated exposure,बार-बार संपर्क
516,en,hi,,,respiratory syncytial virus,श्वसनतंत्र संबंधी बहुकेंद्रकी वाइरस
517,en,hi,,,respiratory virus,श्वसनतंत्रीय वाइरस
519,en,hi,,,Sanitizing hand sanitizer,सेनिटाइज़ करना हैंड सेनिटाइज़र
520,en,hi,,,SARS-CoV-2,SARS-CoV-2
