stringID,sourceLang,targetLang,pos,description,sourceString,targetString
1,en,is,adjective,"In the context of coronavirus (COVID-19): transmissible by direct or indirect contact with an infected person (describes the disease or the virus, not a person).",contagious,smitandi
2,en,is,noun,In the context of coronavirus (COVID-19): known cases of people who currently have the disease.,active cases,virk smit
3,en,is,noun,In the context of coronavirus (COVID-19): cases of people infected with the virus which have been confirmed via medical testing.,confirmed cases,staðfest smit
4,en,is,proper noun,"Short for ""Centers for Disease Control and Prevention"": a US federal agency under the Department of Health and Human Services, whose main goal is to protect public health and safety through the control and prevention of disease.",CDC,CDC
5,en,is,noun,"A formal name for the disease caused by the SARS-CoV-2 virus, responsible for the 2019/2020 global pandemic.",COVID-19,COVID-19
6,en,is,noun,In the context of coronavirus (COVID-19): a place where people can be tested for the virus.,COVID-19 testing center,COVID-19 skimunarstöð
7,en,is,noun,"An informal name for the SARS-CoV-2 virus (also known as ""novel coronavirus""), responsible for the 2019/2020 global pandemic of COVID-19 (the disease caused by the virus). Sometimes refers to the entire category of coronaviruses, of which SARS-CoV-2 is just one example.",coronavirus,kórónuveiran
8,en,is,noun,"In the context of coronavirus (COVID-19): a mask covering the nose, mouth and/or eyes of the wearer, intended to protect the wearer from spreading or contracting pathogens.",face mask,andlitsgríma
9,en,is,noun,"In the context of coronavirus (COVID-19): can be a person, such as a doctor, but also an organization, such as a hospital or insurance company.",healthcare provider,heilbrigðisaðili
10,en,is,noun,"In the context of coronavirus (COVID-19): a person who works in healthcare, such as a doctor or therapist.",healthcare professional,heilbrigðisstarfsmaður
11,en,is,noun,"In the context of coronavirus (COVID-19): the practice of cleaning one's hands, e.g. with water and soap, in order to get rid of the virus and other pathogens.",hand-washing,handþvottur
12,en,is,noun,In the context of coronavirus (COVID-19): the period of time between infection and the appearance of symptoms of the disease.,incubation period,meðgöngutími
13,en,is,noun,In the context of coronavirus (COVID-19): the practice of separating sick people from healthy people to prevent the spread of disease.,isolation,einangrun
14,en,is,noun,In the context of the coronavirus (COVID-19): the practice of restricting the movement of healthy people who may have been exposed to the virus to see if they become ill.,quarantine,sóttkví
15,en,is,verb,In the context of the coronavirus (COVID-19): to restrict the movement of healthy people who may have been exposed to the virus to see if they become ill.,quarantine,setja í sóttkví
16,en,is,proper noun,"Short for ""National Institutes of Health Agency"": the primary US government agency responsible for biomedical and public health research; part of the United States Department of Health and Human Services.",NIH,NIH
17,en,is,noun,"In the context of coronavirus (COVID-19): being within a close distance (1-2m) of another person, not necessarily having actual physical contact. Close contact is one possible way for the virus to spread from person to person.",close contact,náið samneyti
18,en,is,noun,In the context of coronavirus (COVID-19): the process of the virus spreading from person to person.,transmission,smit
19,en,is,noun,In the context of coronavirus (COVID-19): cases of people infected with the virus which have resulted in the end of the infected person's life.,deaths,dauðsföll
20,en,is,noun,In the context of coronavirus (COVID-19): a place where people can be tested for the virus.,testing center,skimunarstöð
21,en,is,verb,"In the context of the coronavirus (COVID-19): to infect new people, in a particular area or globally.",spread,breiða út
22,en,is,verb,A header for a set of five recommendations surfaced to users looking for coronavirus tips. See: https://www.google.com/search?q=coronavirus+tips&fbx=dothefive,Do the Five,Fimman
23,en,is,proper noun,"A specialized agency of the United Nations that is concerned with world public health. Abbreviated as ""WHO"". See: https://en.wikipedia.org/wiki/World_Health_Organization",World Health Organization,Alþjóðaheilbrigðismálastofnunin
24,en,is,proper noun,"Short for ""World Health Organization"": a specialized agency of the United Nations that is concerned with world public health. See: https://en.wikipedia.org/wiki/World_Health_Organization",WHO,Alþjóðaheilbrigðismálastofnunin
25,en,is,,,14 days in isolation,14 dagar í einangrun
26,en,is,,,14 days quarantine,14 daga sóttkví
27,en,is,,,2019 coronavirus,2019 kórónuveiran
28,en,is,,,2019 novel coronavirus,2019 kórónuveira novel
29,en,is,,,2019-nCoV,2019-nCoV
30,en,is,,,2020 coronavirus,2020 kórónuveiran
31,en,is,,,2020 novel coronavirus,2020 kórónuveira novel
33,en,is,,,about coronavirus,um kórónuveiruna
39,en,is,,,acute respiratory distress syndrome,brátt andnauðarheilkenni
40,en,is,,,advanced hand sanitizer,vandað handhreinsiefni
41,en,is,,,Affected by coronavirus,Verða fyrir áhrifum kórónuveirunnar
42,en,is,,,after exposure,eftir smit
43,en,is,,,After the epidemic,Eftir faraldurinn
44,en,is,,,After the outbreak,Eftir útbreiðsluna
47,en,is,,,airborne virus,loftborin veira
48,en,is,,,alcohol based hand sanitizer,handhreinsiefni sem inniheldur alkóhól
49,en,is,,,alcohol hand sanitizer,handspritt með alkóhóli
51,en,is,,,alcohol-based hand sanitizer,handspritt sem inniheldur alkóhól
59,en,is,,,Anti-Corona virus spray,Úði sem ver gegn kórónuveirunni
60,en,is,,,antibacterial hand sanitizer,bakteríudrepandi handhreinsiefni
61,en,is,,,ARDS,ARDS
64,en,is,,,avoid exposure,forðast smit
65,en,is,,,be infected,vera sýktur
75,en,is,,,Beware of coronavirus,Varast kórónuveiruna
76,en,is,,,bilateral interstitial pneumonia,tvíhliða millivefslungnabólga
77,en,is,,,CDC,CDC
78,en,is,,,Center for Disease Control,Sóttvarnarstofnun
83,en,is,,,community spread,samfélagssmit
84,en,is,,,compulsory quarantine,skyldusóttkví
85,en,is,,,contagious,smitandi
135,en,is,,,coronavirus,kórónuveiran
136,en,is,,,coronavirus (COVID-19),kórónuveiran (COVID-19)
137,en,is,,,coronavirus alert,kórónuveiruviðvörun
139,en,is,,,coronavirus cases,kórónuveirutilfelli
141,en,is,,,coronavirus concerns,áhyggjur vegna kórónuveirunnar
143,en,is,,,coronavirus crisis,hættuástand vegna kórónuveiru
149,en,is,,,coronavirus disease,kórónuveiran sjúkdómur
150,en,is,,,Coronavirus disease (COVID-19) outbreak,Útbreiðsla kórónuveirusjúkdómsins (COVID-19)
153,en,is,,,coronavirus early symptoms,kórónuveiran fyrstu einkenni
155,en,is,,,coronavirus epidemic,kórónuveirufaraldur
156,en,is,,,coronavirus exposure,kórónuveirusmit
161,en,is,,,coronavirus incubation,kórónuveiran meðgöngutími
162,en,is,,,coronavirus incubation period,meðgöngutími kórónuveirunnar
163,en,is,,,coronavirus infection,kórónuveirusýking
168,en,is,,,coronavirus map,kórónuveiran kort
170,en,is,,,coronavirus medicine,kórónuveiran lyf
171,en,is,,,coronavirus medicines,kórónuveiran lyf
172,en,is,,,coronavirus news,kórónuveiran fréttir
173,en,is,,,coronavirus outbreak,útbreiðsla kórónuveirunnar
174,en,is,,,coronavirus pandemic,kórónuveiru heimsfaraldurinn
176,en,is,,,coronavirus pneumonia,kórónuveiran lungnabólga
177,en,is,,,coronavirus precautions,varúðarráðstafanir vegna kórónuveirunnar
178,en,is,,,coronavirus prevention,fyrirbyggjandi fyrir kórónuveiruna
179,en,is,,,coronavirus protection,vörn gegn kórónuveirunni
180,en,is,,,coronavirus quarantine,kórónuveiru sóttkví
182,en,is,,,coronavirus SOS Alert,neyðarviðvörun fyrir kórónuveiruna
183,en,is,,,coronavirus spread,dreifing kórónuveirunnar
184,en,is,,,coronavirus symptoms,einkenni kórónuveirunnar
185,en,is,,,coronavirus transmission,dreifing kórónuveirunnar
186,en,is,,,coronavirus travel ban,ferðabann kórónuveiran
187,en,is,,,coronavirus travel restrictions,ferðatakmarkanir kórónuveiran
188,en,is,,,coronavirus treatment,meðferð kórónuveirunnar
190,en,is,,,coronavirus update,uppfærsla kórónuveiran
191,en,is,,,coronavirus vaccine,bóluefni kórónuveirunnar
192,en,is,,,coronavirus vaccines,bóluefni kórónuveirunnar
198,en,is,,,covid cases,covid tilfelli
205,en,is,,,covid early symptoms,covid fyrstu einkenni
213,en,is,,,covid incubation period,meðgöngutími covid
215,en,is,,,covid international spread,alþjóðleg dreifing covid
216,en,is,,,covid international travel,alþjóðleg ferðalög covid
217,en,is,,,covid isolation,covid einangrun
219,en,is,,,covid map,covid kort
220,en,is,,,covid medicine,covid lyf
221,en,is,,,covid medicines,covid lyf
222,en,is,,,covid news,covid fréttir
223,en,is,,,covid outbreak,útbreiðsla covid
224,en,is,,,covid pandemic,covid heimsfaraldurinn
225,en,is,,,covid panic,covid hræðsla
228,en,is,,,covid SOS Alert,neyðarviðvörun fyrir covid
230,en,is,,,covid symptoms,einkenni covid
231,en,is,,,covid transmission,dreifing covid
232,en,is,,,covid travel ban,ferðabann covid
233,en,is,,,covid travel restrictions,ferðatakmarkanir covid
234,en,is,,,covid treatment,covid meðferð
236,en,is,,,covid vaccine,covid bóluefni
237,en,is,,,covid vaccines,covid bóluefni
242,en,is,,,covid-19,covid-19
243,en,is,,,covid-19 alert,covid-19 viðvörun
244,en,is,,,covid-19 cases,covid-19 tilfelli
245,en,is,,,covid-19 CDC,covid-19 Sóttvarnastofnun Evrópu
246,en,is,,,covid-19 contagious,covid-19 smitandi
247,en,is,,,covid-19 cure,covid-19 lækning
248,en,is,,,covid-19 dangerous,covid-19 hættuleg
249,en,is,,,covid-19 deadly,covid-19 banvæn
250,en,is,,,covid-19 death,covid-19 dauðsfall
251,en,is,,,covid-19 deaths,covid-19 dauðsföll
252,en,is,,,covid-19 domestic travel,ferðalög innanlands covid-19
253,en,is,,,covid-19 early symptoms,covid-19 fyrstu einkenni
254,en,is,,,covid-19 effects,áhrif covid-19
255,en,is,,,covid-19 epidemic,covid-19 faraldur
256,en,is,,,covid-19 exposure,covid-19 smit
257,en,is,,,covid-19 fatal,covid-19 banvænt
258,en,is,,,covid-19 fever,covid-19 hiti
259,en,is,,,covid-19 illness,covid-19 veikindi
260,en,is,,,covid-19 incubation,covid-19 meðgöngutími
261,en,is,,,covid-19 incubation period,meðgöngutími covid-19
262,en,is,,,covid-19 infection,covid-19 sýking
263,en,is,,,covid-19 international spread,alþjóðleg dreifing covid-19
264,en,is,,,covid-19 international travel,alþjóðleg ferðalög covid-19
265,en,is,,,covid-19 isolation,covid-19 einangrun
266,en,is,,,covid-19 lockdown,útgöngubann vegna covid-19
267,en,is,,,covid-19 map,covid-19 kort
268,en,is,,,covid-19 medicine,covid-19 lyf
269,en,is,,,covid-19 medicines,covid-19 lyf
270,en,is,,,covid-19 news,covid-19 fréttir
271,en,is,,,covid-19 outbreak,útbreiðsla covid-19
272,en,is,,,covid-19 pandemic,covid-19 heimsfaraldurinn
273,en,is,,,covid-19 panic,covid-19 hræðsla
275,en,is,,,covid-19 precautions,varúðarráðstafanir covid-19
276,en,is,,,covid-19 protection,vörn gegn covid-19
277,en,is,,,covid-19 quarantine,covid-19 sóttkví
278,en,is,,,covid-19 SOS Alert,neyðarviðvörun fyrir covid-19
279,en,is,,,covid-19 spread,covid-19 dreifing
280,en,is,,,covid-19 symptoms,einkenni covid-19
281,en,is,,,covid-19 transmission,dreifing covid-19
282,en,is,,,covid-19 travel ban,ferðabann covid-19
283,en,is,,,covid-19 travel restrictions,ferðatakmarkanir covid-19
284,en,is,,,covid-19 treatment,covid-19 meðferð
285,en,is,,,covid-19 uncontrolled spread,stjórnlaus dreifing covid-19
286,en,is,,,covid-19 vaccine,covid-19 bóluefni
287,en,is,,,covid-19 vaccines,covid-19 bóluefni
288,en,is,,,COVID-19 virus,covid-19 veiran
289,en,is,,,covid-19 virus outbreak,útbreiðsla covid-19 veiru
290,en,is,,,covid-19 virus transmission,smitun covid-19 veirunnar
291,en,is,,,covid-19 WHO,Alþjóðaheilbrigðismálastofnunin covid-19
292,en,is,,,covid19,covid19
293,en,is,,,covid19 alert,covid19 viðvörun
294,en,is,,,covid19 cases,covid19 tilfelli
295,en,is,,,covid19 CDC,covid19 Sóttvarnastofnun Evrópu
301,en,is,,,covid19 deaths,covid19 dauðsföll
302,en,is,,,covid19 domestic travel,ferðalög innanlands covid19
303,en,is,,,covid19 effects,áhrif covid19
304,en,is,,,covid19 epidemic,covid19 faraldur
305,en,is,,,covid19 exposure,covid19 smit
306,en,is,,,covid19 fatal,covid19 banvænt
307,en,is,,,covid19 fever,covid19 hiti
308,en,is,,,covid19 illness,covid19 veikindi
309,en,is,,,covid19 incubation,covid19 meðgöngutími
310,en,is,,,covid19 incubation period,meðgöngutími covid19
311,en,is,,,covid19 infection,covid19 sýking
312,en,is,,,covid19 international spread,alþjóðleg dreifing covid19
313,en,is,,,covid19 international travel,alþjóðleg ferðalög covid19
314,en,is,,,covid19 isolation,covid19 einangrun
315,en,is,,,covid19 lockdown,útgöngubann vegna covid19
316,en,is,,,covid19 map,covid19 kort
317,en,is,,,covid19 medicine,covid19 lyf
318,en,is,,,covid19 medicines,covid19 lyf
319,en,is,,,covid19 news,covid19 fréttir
320,en,is,,,covid19 outbreak,útbreiðsla covid19
321,en,is,,,covid19 pandemic,covid19 heimsfaraldurinn
324,en,is,,,covid19 precautions,varúðarráðstafanir covid19
325,en,is,,,covid19 protection,vörn gegn covid19
326,en,is,,,covid19 quarantine,covid19 sóttkví
327,en,is,,,covid19 SOS Alert,neyðarviðvörun fyrir covid19
328,en,is,,,covid19 spread,covid19 dreifing
329,en,is,,,covid19 symptoms,einkenni covid19
330,en,is,,,covid19 transmission,dreifing covid19
331,en,is,,,covid19 travel ban,ferðabann covid19
332,en,is,,,covid19 travel restrictions,ferðatakmarkanir covid19
333,en,is,,,covid19 treatment,covid19 meðferð
335,en,is,,,covid19 vaccine,covid19 bóluefni
336,en,is,,,covid19 vaccines,covid19 bóluefni
337,en,is,,,covid19 virus,covid19 veiran
338,en,is,,,covid19 virus outbreak,útbreiðsla covid19 veiru
339,en,is,,,covid19 virus transmission,smitun covid19 veirunnar
342,en,is,,,current outbreak,núverandi útbreiðsla
343,en,is,,,deadly outbreak,banvæn útbreiðsla
345,en,is,,,disease outbreak,útbreiðsla sjúkdóms
346,en,is,,,Disposable hand sanitizer,einnota handhreinsiklútar
348,en,is,,,domestic travel,ferðalög innanlands
351,en,is,,,droplets,dropar
357,en,is,,,Effects of coronavirus,Áhrif kórónuveirunnar
359,en,is,,,epidemic,faraldur
360,en,is,,,epidemic and pandemic,faraldur og heimsfaraldur
362,en,is,,,epidemic disease,faraldssjúkdómur
364,en,is,,,epidemic outbreak,útbreiðsla faraldurs
365,en,is,,,epidemic period,tímabil faraldurs
366,en,is,,,epidemic prevention,fyrirbyggjandi fyrir faraldur
368,en,is,,,epidemic season,árstími faraldurs
369,en,is,,,epidemic situation,staða faraldurs
371,en,is,,,exposure,smit
375,en,is,,,exposure time,smitunartími
379,en,is,,,fever,hiti
380,en,is,,,fight the virus,berjast gegn veirunni
381,en,is,,,Fighting the outbreak,Berjast gegn útbreiðslu
382,en,is,,,flu epidemic,flensufaraldur
385,en,is,,,fomites,smitberandi hlutir
392,en,is,,,global health emergency,alþjóðlegt heilsufarslegt neyðarástand
393,en,is,,,global outbreak,alþjóðleg útbreiðsla
394,en,is,,,global pandemic,heimsfaraldur
396,en,is,,,hand sanitizer,handhreinsiefni
397,en,is,,,hand sanitizer dispenser,handhreinsiklútaskammtari
398,en,is,,,hand sanitizer gel,handhreinsigel
399,en,is,,,hand sanitizer spray,hreinsiúði fyrir hendur
403,en,is,,,home isolation,heimaeinangrun
404,en,is,,,home quarantine,heimasóttkví
410,en,is,,,illness,veikindi
415,en,is,,,incubation period,meðgöngutími
418,en,is,,,infected,sýktur
424,en,is,,,instant hand sanitizer,hraðvirkt handhreinsiefni
425,en,is,,,international spread,alþjóðleg dreifing
426,en,is,,,international travel,alþjóðleg ferðalög
427,en,is,,,isolation,einangrun
428,en,is,,,isolation period,einangrunartímabil
430,en,is,,,isolation room,einangrunarherbergi
431,en,is,,,isolation valve,einangrunarloki
432,en,is,,,isolation ward,einangrunardeild
434,en,is,,,lockdown,útgöngubann
438,en,is,,,major outbreak,alvarleg útbreiðsla
