stringID,sourceLang,targetLang,pos,description,sourceString,targetString
1,en,ja,adjective,"In the context of coronavirus (COVID-19): transmissible by direct or indirect contact with an infected person (describes the disease or the virus, not a person).",contagious,接触感染（性）
2,en,ja,noun,In the context of coronavirus (COVID-19): known cases of people who currently have the disease.,active cases,現在の感染者（数）
3,en,ja,noun,In the context of coronavirus (COVID-19): cases of people infected with the virus which have been confirmed via medical testing.,confirmed cases,感染者（数）
4,en,ja,proper noun,"Short for ""Centers for Disease Control and Prevention"": a US federal agency under the Department of Health and Human Services, whose main goal is to protect public health and safety through the control and prevention of disease.",CDC,CDC（アメリカ疾病予防管理センター）（# 文字数制限がない場合、初出時にかっこ書きを追加）
5,en,ja,noun,"A formal name for the disease caused by the SARS-CoV-2 virus, responsible for the 2019/2020 global pandemic.",COVID-19,COVID-19（新型コロナウイルス感染症）（# 文字数制限がない場合、初出時にかっこ書きを追加）
6,en,ja,noun,In the context of coronavirus (COVID-19): a place where people can be tested for the virus.,COVID-19 testing center,COVID-19 の検査機関
7,en,ja,noun,"An informal name for the SARS-CoV-2 virus (also known as ""novel coronavirus""), responsible for the 2019/2020 global pandemic of COVID-19 (the disease caused by the virus). Sometimes refers to the entire category of coronaviruses, of which SARS-CoV-2 is just one example.",coronavirus,新型コロナウイルス ; 新型コロナウイルス感染症（# 文脈に応じて）
8,en,ja,noun,"In the context of coronavirus (COVID-19): a mask covering the nose, mouth and/or eyes of the wearer, intended to protect the wearer from spreading or contracting pathogens.",face mask,マスク
9,en,ja,noun,"In the context of coronavirus (COVID-19): can be a person, such as a doctor, but also an organization, such as a hospital or insurance company.",healthcare provider,医療従事者 ; 医療機関（# など文脈に応じて）
10,en,ja,noun,"In the context of coronavirus (COVID-19): a person who works in healthcare, such as a doctor or therapist.",healthcare professional,医師 ; 医療従事者（# 文脈に応じて）
11,en,ja,noun,"In the context of coronavirus (COVID-19): the practice of cleaning one's hands, e.g. with water and soap, in order to get rid of the virus and other pathogens.",hand-washing,手洗い
12,en,ja,noun,In the context of coronavirus (COVID-19): the period of time between infection and the appearance of symptoms of the disease.,incubation period,潜伏期間
13,en,ja,noun,In the context of coronavirus (COVID-19): the practice of separating sick people from healthy people to prevent the spread of disease.,isolation,隔離
14,en,ja,noun,In the context of the coronavirus (COVID-19): the practice of restricting the movement of healthy people who may have been exposed to the virus to see if they become ill.,quarantine,検疫 ; 隔離（# 文脈に応じて）
15,en,ja,verb,In the context of the coronavirus (COVID-19): to restrict the movement of healthy people who may have been exposed to the virus to see if they become ill.,quarantine,検疫 ; 隔離（# 文脈に応じて）
16,en,ja,proper noun,"Short for ""National Institutes of Health Agency"": the primary US government agency responsible for biomedical and public health research; part of the United States Department of Health and Human Services.",NIH,NIH（アメリカ国立衛生研究所）（# 文字数制限がない場合、初出時にかっこ書きを追加）
17,en,ja,noun,"In the context of coronavirus (COVID-19): being within a close distance (1-2m) of another person, not necessarily having actual physical contact. Close contact is one possible way for the virus to spread from person to person.",close contact,濃厚接触
18,en,ja,noun,In the context of coronavirus (COVID-19): the process of the virus spreading from person to person.,transmission,伝染 ; 感染
19,en,ja,noun,In the context of coronavirus (COVID-19): cases of people infected with the virus which have resulted in the end of the infected person's life.,deaths,死亡者（数）
20,en,ja,noun,In the context of coronavirus (COVID-19): a place where people can be tested for the virus.,testing center,検査機関
21,en,ja,verb,"In the context of the coronavirus (COVID-19): to infect new people, in a particular area or globally.",spread,拡散 ; （感染）拡大（# 文脈に応じて）
22,en,ja,verb,A header for a set of five recommendations surfaced to users looking for coronavirus tips. See: https://www.google.com/search?q=coronavirus+tips&fbx=dothefive,Do the Five,5 つの推奨習慣
23,en,ja,proper noun,"A specialized agency of the United Nations that is concerned with world public health. Abbreviated as ""WHO"". See: https://en.wikipedia.org/wiki/World_Health_Organization",World Health Organization,世界保健機関
24,en,ja,proper noun,"Short for ""World Health Organization"": a specialized agency of the United Nations that is concerned with world public health. See: https://en.wikipedia.org/wiki/World_Health_Organization",WHO,WHO（世界保健機関）（# 文字数制限がない場合、初出時にかっこ書きを追加）
25,en,ja,,,14 days in isolation,14日間の隔離
26,en,ja,,,14 days quarantine,14日間の隔離
27,en,ja,,,2019 coronavirus,2019 コロナウイルス
28,en,ja,,,2019 novel coronavirus,2019年新型コロナウイルス
29,en,ja,,,2019-nCoV,2019-nCoV
30,en,ja,,,2020 coronavirus,2020 コロナウイルス
31,en,ja,,,2020 novel coronavirus,2020年新型コロナウイルス
33,en,ja,,,about coronavirus,コロナウイルスについて
39,en,ja,,,acute respiratory distress syndrome,急性呼吸促拍症候群
40,en,ja,,,advanced hand sanitizer,強力な手指消毒剤
41,en,ja,,,Affected by coronavirus,コロナウイルスの影響
42,en,ja,,,after exposure,曝露後
43,en,ja,,,After the epidemic,エピデミックの後
44,en,ja,,,After the outbreak,アウトブレイクの後
47,en,ja,,,airborne virus,空中伝播ウイルス
48,en,ja,,,alcohol based hand sanitizer,アルコールベースの手指消毒剤
