stringID,sourceLang,targetLang,pos,description,sourceString,targetString
1,en,kn,adjective,"In the context of coronavirus (COVID-19): transmissible by direct or indirect contact with an infected person (describes the disease or the virus, not a person).",contagious,ಸಾಂಕ್ರಾಮಿಕ
2,en,kn,noun,In the context of coronavirus (COVID-19): known cases of people who currently have the disease.,active cases,ಸಕ್ರಿಯ ಪ್ರಕರಣಗಳು
3,en,kn,noun,In the context of coronavirus (COVID-19): cases of people infected with the virus which have been confirmed via medical testing.,confirmed cases,ದೃಢಪಟ್ಟಿರುವ ಪ್ರಕರಣಗಳು
4,en,kn,proper noun,"Short for ""Centers for Disease Control and Prevention"": a US federal agency under the Department of Health and Human Services, whose main goal is to protect public health and safety through the control and prevention of disease.",CDC,CDC
5,en,kn,noun,"A formal name for the disease caused by the SARS-CoV-2 virus, responsible for the 2019/2020 global pandemic.",COVID-19,COVID-19
6,en,kn,noun,In the context of coronavirus (COVID-19): a place where people can be tested for the virus.,COVID-19 testing center,COVID-19 ಪರೀಕ್ಷಾ ಕೇಂದ್ರ
7,en,kn,noun,"An informal name for the SARS-CoV-2 virus (also known as ""novel coronavirus""), responsible for the 2019/2020 global pandemic of COVID-19 (the disease caused by the virus). Sometimes refers to the entire category of coronaviruses, of which SARS-CoV-2 is just one example.",coronavirus,ಕೊರೋನಾ ವೈರಸ್
8,en,kn,noun,"In the context of coronavirus (COVID-19): a mask covering the nose, mouth and/or eyes of the wearer, intended to protect the wearer from spreading or contracting pathogens.",face mask,ಫೇಸ್ ಮಾಸ್ಕ್
9,en,kn,noun,"In the context of coronavirus (COVID-19): can be a person, such as a doctor, but also an organization, such as a hospital or insurance company.",healthcare provider,ಆರೋಗ್ಯ ಸೇವೆ ಒದಗಿಸುವವರು
10,en,kn,noun,"In the context of coronavirus (COVID-19): a person who works in healthcare, such as a doctor or therapist.",healthcare professional,ವೃತ್ತಿಪರ ಆರೋಗ್ಯ ಸೇವೆ ಒದಗಿಸುವವರು
11,en,kn,noun,"In the context of coronavirus (COVID-19): the practice of cleaning one's hands, e.g. with water and soap, in order to get rid of the virus and other pathogens.",hand-washing,ಕೈ ತೊಳೆಯುವಿಕೆ
12,en,kn,noun,In the context of coronavirus (COVID-19): the period of time between infection and the appearance of symptoms of the disease.,incubation period,ಇನ್‌ಕ್ಯೂಬೇಶನ್ ಅವಧಿ
13,en,kn,noun,In the context of coronavirus (COVID-19): the practice of separating sick people from healthy people to prevent the spread of disease.,isolation,ಐಸೋಲೇಶನ್
14,en,kn,noun,In the context of the coronavirus (COVID-19): the practice of restricting the movement of healthy people who may have been exposed to the virus to see if they become ill.,quarantine,ಕ್ವಾರಂಟೈನ್
15,en,kn,verb,In the context of the coronavirus (COVID-19): to restrict the movement of healthy people who may have been exposed to the virus to see if they become ill.,quarantine,ಕ್ವಾರಂಟೈನ್
16,en,kn,proper noun,"Short for ""National Institutes of Health Agency"": the primary US government agency responsible for biomedical and public health research; part of the United States Department of Health and Human Services.",NIH,NIH
