stringID,sourceLang,targetLang,pos,description,sourceString,targetString
1,en,ko,adjective,"In the context of coronavirus (COVID-19): transmissible by direct or indirect contact with an infected person (describes the disease or the virus, not a person).",contagious,전염성
2,en,ko,noun,In the context of coronavirus (COVID-19): known cases of people who currently have the disease.,active cases,현재 감염자
3,en,ko,noun,In the context of coronavirus (COVID-19): cases of people infected with the virus which have been confirmed via medical testing.,confirmed cases,확진자
4,en,ko,proper noun,"Short for ""Centers for Disease Control and Prevention"": a US federal agency under the Department of Health and Human Services, whose main goal is to protect public health and safety through the control and prevention of disease.",CDC,CDC : 질병통제예방센터
5,en,ko,noun,"A formal name for the disease caused by the SARS-CoV-2 virus, responsible for the 2019/2020 global pandemic.",COVID-19,코로나바이러스감염증-19 : 코로나19
6,en,ko,noun,In the context of coronavirus (COVID-19): a place where people can be tested for the virus.,COVID-19 testing center,코로나19 선별진료소
7,en,ko,noun,"An informal name for the SARS-CoV-2 virus (also known as ""novel coronavirus""), responsible for the 2019/2020 global pandemic of COVID-19 (the disease caused by the virus). Sometimes refers to the entire category of coronaviruses, of which SARS-CoV-2 is just one example.",coronavirus,코로나바이러스
8,en,ko,noun,"In the context of coronavirus (COVID-19): a mask covering the nose, mouth and/or eyes of the wearer, intended to protect the wearer from spreading or contracting pathogens.",face mask,마스크
9,en,ko,noun,"In the context of coronavirus (COVID-19): can be a person, such as a doctor, but also an organization, such as a hospital or insurance company.",healthcare provider,의료인
10,en,ko,noun,"In the context of coronavirus (COVID-19): a person who works in healthcare, such as a doctor or therapist.",healthcare professional,의료 전문가
11,en,ko,noun,"In the context of coronavirus (COVID-19): the practice of cleaning one's hands, e.g. with water and soap, in order to get rid of the virus and other pathogens.",hand-washing,손 씻기
12,en,ko,noun,In the context of coronavirus (COVID-19): the period of time between infection and the appearance of symptoms of the disease.,incubation period,잠복기
13,en,ko,noun,In the context of coronavirus (COVID-19): the practice of separating sick people from healthy people to prevent the spread of disease.,isolation,격리
14,en,ko,noun,In the context of the coronavirus (COVID-19): the practice of restricting the movement of healthy people who may have been exposed to the virus to see if they become ill.,quarantine,격리
15,en,ko,verb,In the context of the coronavirus (COVID-19): to restrict the movement of healthy people who may have been exposed to the virus to see if they become ill.,quarantine,격리시키다
16,en,ko,proper noun,"Short for ""National Institutes of Health Agency"": the primary US government agency responsible for biomedical and public health research; part of the United States Department of Health and Human Services.",NIH,NIH : 국립보건원
17,en,ko,noun,"In the context of coronavirus (COVID-19): being within a close distance (1-2m) of another person, not necessarily having actual physical contact. Close contact is one possible way for the virus to spread from person to person.",close contact,밀접 접촉
18,en,ko,noun,In the context of coronavirus (COVID-19): the process of the virus spreading from person to person.,transmission,전염
19,en,ko,noun,In the context of coronavirus (COVID-19): cases of people infected with the virus which have resulted in the end of the infected person's life.,deaths,사망자
20,en,ko,noun,In the context of coronavirus (COVID-19): a place where people can be tested for the virus.,testing center,선별진료소
21,en,ko,verb,"In the context of the coronavirus (COVID-19): to infect new people, in a particular area or globally.",spread,확산되다
22,en,ko,verb,A header for a set of five recommendations surfaced to users looking for coronavirus tips. See: https://www.google.com/search?q=coronavirus+tips&fbx=dothefive,Do the Five,5가지 행동수칙을 지키다
23,en,ko,proper noun,"A specialized agency of the United Nations that is concerned with world public health. Abbreviated as ""WHO"". See: https://en.wikipedia.org/wiki/World_Health_Organization",World Health Organization,세계보건기구
24,en,ko,proper noun,"Short for ""World Health Organization"": a specialized agency of the United Nations that is concerned with world public health. See: https://en.wikipedia.org/wiki/World_Health_Organization",WHO,WHO : 세계보건기구
25,en,ko,,,14 days in isolation,14일 자가 격리
26,en,ko,,,14 days quarantine,14일 격리
27,en,ko,,,2019 coronavirus,2019 코로나바이러스
28,en,ko,,,2019 novel coronavirus,2019 신종 코로나바이러스
29,en,ko,,,2019-nCoV,2019 신종 코로나
30,en,ko,,,2020 coronavirus,2020 코로나바이러스
31,en,ko,,,2020 novel coronavirus,2020 신종 코로나바이러스
33,en,ko,,,about coronavirus,코로나바이러스 정보
39,en,ko,,,acute respiratory distress syndrome,급성 호흡기 장애 증후군
40,en,ko,,,advanced hand sanitizer,고급 손 세정제
41,en,ko,,,Affected by coronavirus,코로나바이러스에 감염된
42,en,ko,,,after exposure,노출 후
43,en,ko,,,After the epidemic,전염병이 끝나고
44,en,ko,,,After the outbreak,전염병이 진정되면
