stringID,sourceLang,targetLang,pos,description,sourceString,targetString
1,en,lo,adjective,"In the context of coronavirus (COVID-19): transmissible by direct or indirect contact with an infected person (describes the disease or the virus, not a person).",contagious,ແພ່ກະຈາຍໄດ້ງ່າຍ
2,en,lo,noun,In the context of coronavirus (COVID-19): known cases of people who currently have the disease.,active cases,ກໍລະນີທີ່ຕິດເຊື້ອ
3,en,lo,noun,In the context of coronavirus (COVID-19): cases of people infected with the virus which have been confirmed via medical testing.,confirmed cases,ກໍລະນີທີ່ຢືນຢັນແລ້ວ
4,en,lo,proper noun,"Short for ""Centers for Disease Control and Prevention"": a US federal agency under the Department of Health and Human Services, whose main goal is to protect public health and safety through the control and prevention of disease.",CDC,CDC
5,en,lo,noun,"A formal name for the disease caused by the SARS-CoV-2 virus, responsible for the 2019/2020 global pandemic.",COVID-19,COVID-19
6,en,lo,noun,In the context of coronavirus (COVID-19): a place where people can be tested for the virus.,COVID-19 testing center,ສູນທົດສອບ COVID-19
7,en,lo,noun,"An informal name for the SARS-CoV-2 virus (also known as ""novel coronavirus""), responsible for the 2019/2020 global pandemic of COVID-19 (the disease caused by the virus). Sometimes refers to the entire category of coronaviruses, of which SARS-CoV-2 is just one example.",coronavirus,ໂຄໂຣນາໄວຣັສ
8,en,lo,noun,"In the context of coronavirus (COVID-19): a mask covering the nose, mouth and/or eyes of the wearer, intended to protect the wearer from spreading or contracting pathogens.",face mask,ໜ້າກາກອະນາໄມ
9,en,lo,noun,"In the context of coronavirus (COVID-19): can be a person, such as a doctor, but also an organization, such as a hospital or insurance company.",healthcare provider,ຜູ້ໃຫ້ບໍລິການດ້ານສຸຂະພາບ
10,en,lo,noun,"In the context of coronavirus (COVID-19): a person who works in healthcare, such as a doctor or therapist.",healthcare professional,ຜູ້ຊ່ຽວຊານດ້ານສຸຂະພາບ
11,en,lo,noun,"In the context of coronavirus (COVID-19): the practice of cleaning one's hands, e.g. with water and soap, in order to get rid of the virus and other pathogens.",hand-washing,ການລ້າງມື
12,en,lo,noun,In the context of coronavirus (COVID-19): the period of time between infection and the appearance of symptoms of the disease.,incubation period,ໄລຍະຝັກຕົວ
13,en,lo,noun,In the context of coronavirus (COVID-19): the practice of separating sick people from healthy people to prevent the spread of disease.,isolation,ການແຍກຕົວເອງອອກ
14,en,lo,noun,In the context of the coronavirus (COVID-19): the practice of restricting the movement of healthy people who may have been exposed to the virus to see if they become ill.,quarantine,ການກັກກັນ
15,en,lo,verb,In the context of the coronavirus (COVID-19): to restrict the movement of healthy people who may have been exposed to the virus to see if they become ill.,quarantine,ກັກກັນ
16,en,lo,proper noun,"Short for ""National Institutes of Health Agency"": the primary US government agency responsible for biomedical and public health research; part of the United States Department of Health and Human Services.",NIH,NIH
17,en,lo,noun,"In the context of coronavirus (COVID-19): being within a close distance (1-2m) of another person, not necessarily having actual physical contact. Close contact is one possible way for the virus to spread from person to person.",close contact,ການພົບປະໃກ້ຊິດ
18,en,lo,noun,In the context of coronavirus (COVID-19): the process of the virus spreading from person to person.,transmission,ການສົ່ງຜ່ານ
19,en,lo,noun,In the context of coronavirus (COVID-19): cases of people infected with the virus which have resulted in the end of the infected person's life.,deaths,ຕາຍ
20,en,lo,noun,In the context of coronavirus (COVID-19): a place where people can be tested for the virus.,testing center,ສູນທົດສອບ
21,en,lo,verb,"In the context of the coronavirus (COVID-19): to infect new people, in a particular area or globally.",spread,ແພ່ເຊື້ອ
22,en,lo,verb,A header for a set of five recommendations surfaced to users looking for coronavirus tips. See: https://www.google.com/search?q=coronavirus+tips&fbx=dothefive,Do the Five,ຂໍ້ປະຕິບັດ 5 ຢ່າງ
23,en,lo,proper noun,"A specialized agency of the United Nations that is concerned with world public health. Abbreviated as ""WHO"". See: https://en.wikipedia.org/wiki/World_Health_Organization",World Health Organization,ອົງການອະນາໄມໂລກ
24,en,lo,proper noun,"Short for ""World Health Organization"": a specialized agency of the United Nations that is concerned with world public health. See: https://en.wikipedia.org/wiki/World_Health_Organization",WHO,WHO
25,en,lo,,,14 days in isolation,ແຍກຕົວ 14 ມື້
26,en,lo,,,14 days quarantine,ກັກຕົວ 14 ມື້
27,en,lo,,,2019 coronavirus,​ໄວ​ຣັ​ສ​ໂຄ​ໂຣ​ນາ 2019
28,en,lo,,,2019 novel coronavirus,2019 ນາວະນິຍາຍ ໂຄໂຣນາໄວຣັສ
29,en,lo,,,2019-nCoV,2019-nCoV
30,en,lo,,,2020 coronavirus,ໄວ​ຣັ​ສ​ໂຄ​ໂຣ​ນາ 2020
31,en,lo,,,2020 novel coronavirus,2020 ນາວະນິຍາຍ ໂຄໂຣນາໄວຣັສ
33,en,lo,,,about coronavirus,​ກ່ຽວ​ກັບ​ໄວ​ຣັ​ສ​ໂຄ​ໂຣ​ນາ
39,en,lo,,,acute respiratory distress syndrome,ອາການລະບົບຫາຍໃຈຍາກແບບຮຸນແຮງ
40,en,lo,,,advanced hand sanitizer,ອຸປະກອນຂ້າເຊື້ອມືແບບທັນສະໄໝ
41,en,lo,,,Affected by coronavirus,ໄດ້ຮັບຜົນກະທົບໂດຍ ໂຄໂຣນາໄວຣັສ
42,en,lo,,,after exposure,ຫຼັງ​ຈາກ​ການ​ສຳ​ຜັດ
43,en,lo,,,After the epidemic,ຫຼັງຈາກການລະບາດ
44,en,lo,,,After the outbreak,ຫຼັງຈາກການແຜ່ລະບາດ
47,en,lo,,,airborne virus,​ໄວ​ຣັ​ສ​ທີ່​ແຜ່​ເຊື້ອ​ທາງ​ອາ​ກາດ
48,en,lo,,,alcohol based hand sanitizer,ເເຈວທຳຄວາມສະອາດທີ່ມີທາດເຫຼົ້າເກົ້າສິບ
