stringID,sourceLang,targetLang,pos,description,sourceString,targetString
1,en,nb,adjective,"In the context of coronavirus (COVID-19): transmissible by direct or indirect contact with an infected person (describes the disease or the virus, not a person).",contagious,smittsom
2,en,nb,noun,In the context of coronavirus (COVID-19): known cases of people who currently have the disease.,active cases,aktive tilfeller
3,en,nb,noun,In the context of coronavirus (COVID-19): cases of people infected with the virus which have been confirmed via medical testing.,confirmed cases,bekreftede tilfeller
4,en,nb,proper noun,"Short for ""Centers for Disease Control and Prevention"": a US federal agency under the Department of Health and Human Services, whose main goal is to protect public health and safety through the control and prevention of disease.",CDC,CDC
5,en,nb,noun,"A formal name for the disease caused by the SARS-CoV-2 virus, responsible for the 2019/2020 global pandemic.",COVID-19,covid-19
6,en,nb,noun,In the context of coronavirus (COVID-19): a place where people can be tested for the virus.,COVID-19 testing center,testsenter for covid-19
7,en,nb,noun,"An informal name for the SARS-CoV-2 virus (also known as ""novel coronavirus""), responsible for the 2019/2020 global pandemic of COVID-19 (the disease caused by the virus). Sometimes refers to the entire category of coronaviruses, of which SARS-CoV-2 is just one example.",coronavirus,koronavirus
8,en,nb,noun,"In the context of coronavirus (COVID-19): a mask covering the nose, mouth and/or eyes of the wearer, intended to protect the wearer from spreading or contracting pathogens.",face mask,masker
9,en,nb,noun,"In the context of coronavirus (COVID-19): can be a person, such as a doctor, but also an organization, such as a hospital or insurance company.",healthcare provider,lege / aktuell helsetjeneste / helsevesenet (but please consider context)
10,en,nb,noun,"In the context of coronavirus (COVID-19): a person who works in healthcare, such as a doctor or therapist.",healthcare professional,helsepersonell
11,en,nb,noun,"In the context of coronavirus (COVID-19): the practice of cleaning one's hands, e.g. with water and soap, in order to get rid of the virus and other pathogens.",hand-washing,håndvask
12,en,nb,noun,In the context of coronavirus (COVID-19): the period of time between infection and the appearance of symptoms of the disease.,incubation period,inkubasjonstid
13,en,nb,noun,In the context of coronavirus (COVID-19): the practice of separating sick people from healthy people to prevent the spread of disease.,isolation,isolering
14,en,nb,noun,In the context of the coronavirus (COVID-19): the practice of restricting the movement of healthy people who may have been exposed to the virus to see if they become ill.,quarantine,karantene
15,en,nb,verb,In the context of the coronavirus (COVID-19): to restrict the movement of healthy people who may have been exposed to the virus to see if they become ill.,quarantine,sette i karantene
16,en,nb,proper noun,"Short for ""National Institutes of Health Agency"": the primary US government agency responsible for biomedical and public health research; part of the United States Department of Health and Human Services.",NIH,NIH
17,en,nb,noun,"In the context of coronavirus (COVID-19): being within a close distance (1-2m) of another person, not necessarily having actual physical contact. Close contact is one possible way for the virus to spread from person to person.",close contact,nærkontakt
18,en,nb,noun,In the context of coronavirus (COVID-19): the process of the virus spreading from person to person.,transmission,spredning / smitte (best judgement based on context)
19,en,nb,noun,In the context of coronavirus (COVID-19): cases of people infected with the virus which have resulted in the end of the infected person's life.,deaths,dødsfall
20,en,nb,noun,In the context of coronavirus (COVID-19): a place where people can be tested for the virus.,testing center,testsenter
21,en,nb,verb,"In the context of the coronavirus (COVID-19): to infect new people, in a particular area or globally.",spread,spre
22,en,nb,verb,A header for a set of five recommendations surfaced to users looking for coronavirus tips. See: https://www.google.com/search?q=coronavirus+tips&fbx=dothefive,Do the Five,Fem anbefalinger
23,en,nb,proper noun,"A specialized agency of the United Nations that is concerned with world public health. Abbreviated as ""WHO"". See: https://en.wikipedia.org/wiki/World_Health_Organization",World Health Organization,Verdens helseorganisasjon
24,en,nb,proper noun,"Short for ""World Health Organization"": a specialized agency of the United Nations that is concerned with world public health. See: https://en.wikipedia.org/wiki/World_Health_Organization",WHO,WHO
25,en,nb,,,14 days in isolation,14 dager i isolering
26,en,nb,,,14 days quarantine,14 dagers karantene
27,en,nb,,,2019 coronavirus,2019 koronavirus
28,en,nb,,,2019 novel coronavirus,2019 nytt koronavirus
29,en,nb,,,2019-nCoV,2019-nCoV
30,en,nb,,,2020 coronavirus,2020 koronavirus
31,en,nb,,,2020 novel coronavirus,2020 nytt koronavirus
33,en,nb,,,about coronavirus,om koronavirus
39,en,nb,,,acute respiratory distress syndrome,Akutt lungesviktsyndrom
40,en,nb,,,advanced hand sanitizer,avansert hånddesinfeksjonsmiddel
41,en,nb,,,Affected by coronavirus,Påvirket av koronavirus
42,en,nb,,,after exposure,etter eksponering
43,en,nb,,,After the epidemic,Etter epidemien
44,en,nb,,,After the outbreak,Etter utbruddet
47,en,nb,,,airborne virus,luftbårent virus
48,en,nb,,,alcohol based hand sanitizer,alkoholbasert hånddesinfeksjonsmiddel
49,en,nb,,,alcohol hand sanitizer,alkoholbasert hånddesinfeksjonsmiddel
51,en,nb,,,alcohol-based hand sanitizer,alkoholbasert hånddesinfeksjonsmiddel
59,en,nb,,,Anti-Corona virus spray,Spray mot koronavirus
60,en,nb,,,antibacterial hand sanitizer,antibakterielt hånddesinfeksjonsmiddel
61,en,nb,,,ARDS,ARDS
64,en,nb,,,avoid exposure,unngå eksponering
65,en,nb,,,be infected,være smittet
75,en,nb,,,Beware of coronavirus,Vær oppmerksom på koronavirus
76,en,nb,,,bilateral interstitial pneumonia,dobbeltsidig interstitiell lungebetennelse
77,en,nb,,,CDC,CDC
78,en,nb,,,Center for Disease Control,Center for Disease Control
83,en,nb,,,community spread,samfunnsspredning
84,en,nb,,,compulsory quarantine,obligatorisk karantene
85,en,nb,,,contagious,smittsom
135,en,nb,,,coronavirus,koronavirus
136,en,nb,,,coronavirus (COVID-19),koronavirus (covid-19)
137,en,nb,,,coronavirus alert,koronavirusvarsel
139,en,nb,,,coronavirus cases,koronavirustilfeller
141,en,nb,,,coronavirus concerns,koronavirusbekymringer
143,en,nb,,,coronavirus crisis,koronaviruskrise
149,en,nb,,,coronavirus disease,koronavirussykdom
150,en,nb,,,Coronavirus disease (COVID-19) outbreak,Utbrudd av koronavirussykdom (covid-19-utbrudd)
153,en,nb,,,coronavirus early symptoms,koronavirus tidlige symptomer
155,en,nb,,,coronavirus epidemic,koronavirusepidemi
156,en,nb,,,coronavirus exposure,koronaviruseksponering
161,en,nb,,,coronavirus incubation,koronavirusinkubasjonstid
