stringID,sourceLang,targetLang,pos,description,sourceString,targetString
1,en,ne,adjective,"In the context of coronavirus (COVID-19): transmissible by direct or indirect contact with an infected person (describes the disease or the virus, not a person).",contagious,सरुवा
2,en,ne,noun,In the context of coronavirus (COVID-19): known cases of people who currently have the disease.,active cases,हाल बिरामीहरूको संख्या
3,en,ne,noun,In the context of coronavirus (COVID-19): cases of people infected with the virus which have been confirmed via medical testing.,confirmed cases,सङ्क्रमितहरूको सङ्ख्या
4,en,ne,proper noun,"Short for ""Centers for Disease Control and Prevention"": a US federal agency under the Department of Health and Human Services, whose main goal is to protect public health and safety through the control and prevention of disease.",CDC,CDC
5,en,ne,noun,"A formal name for the disease caused by the SARS-CoV-2 virus, responsible for the 2019/2020 global pandemic.",COVID-19,COVID-19
6,en,ne,noun,In the context of coronavirus (COVID-19): a place where people can be tested for the virus.,COVID-19 testing center,COVID-19 परीक्षण केन्द्र
7,en,ne,noun,"An informal name for the SARS-CoV-2 virus (also known as ""novel coronavirus""), responsible for the 2019/2020 global pandemic of COVID-19 (the disease caused by the virus). Sometimes refers to the entire category of coronaviruses, of which SARS-CoV-2 is just one example.",coronavirus,कोरोना भाइरस
8,en,ne,noun,"In the context of coronavirus (COVID-19): a mask covering the nose, mouth and/or eyes of the wearer, intended to protect the wearer from spreading or contracting pathogens.",face mask,मास्क
9,en,ne,noun,"In the context of coronavirus (COVID-19): can be a person, such as a doctor, but also an organization, such as a hospital or insurance company.",healthcare provider,स्वास्थ्य सेवा प्रदायक
10,en,ne,noun,"In the context of coronavirus (COVID-19): a person who works in healthcare, such as a doctor or therapist.",healthcare professional,स्वास्थ्यकर्मी
11,en,ne,noun,"In the context of coronavirus (COVID-19): the practice of cleaning one's hands, e.g. with water and soap, in order to get rid of the virus and other pathogens.",hand-washing,हात धुने
12,en,ne,noun,In the context of coronavirus (COVID-19): the period of time between infection and the appearance of symptoms of the disease.,incubation period,लक्षण देखिन लाग्ने अवधि
13,en,ne,noun,In the context of coronavirus (COVID-19): the practice of separating sick people from healthy people to prevent the spread of disease.,isolation,आइसोलेसन
14,en,ne,noun,In the context of the coronavirus (COVID-19): the practice of restricting the movement of healthy people who may have been exposed to the virus to see if they become ill.,quarantine,क्वारेन्टाइन
15,en,ne,verb,In the context of the coronavirus (COVID-19): to restrict the movement of healthy people who may have been exposed to the virus to see if they become ill.,quarantine,क्वारेन्टाइनमा राख्नु
16,en,ne,proper noun,"Short for ""National Institutes of Health Agency"": the primary US government agency responsible for biomedical and public health research; part of the United States Department of Health and Human Services.",NIH,NIH
17,en,ne,noun,"In the context of coronavirus (COVID-19): being within a close distance (1-2m) of another person, not necessarily having actual physical contact. Close contact is one possible way for the virus to spread from person to person.",close contact,नजिकको सम्पर्क
18,en,ne,noun,In the context of coronavirus (COVID-19): the process of the virus spreading from person to person.,transmission,सार्ने काम
19,en,ne,noun,In the context of coronavirus (COVID-19): cases of people infected with the virus which have resulted in the end of the infected person's life.,deaths,मृतकहरूको सङ्ख्या
20,en,ne,noun,In the context of coronavirus (COVID-19): a place where people can be tested for the virus.,testing center,परीक्षण केन्द्र
21,en,ne,verb,"In the context of the coronavirus (COVID-19): to infect new people, in a particular area or globally.",spread,फैलनु
22,en,ne,verb,A header for a set of five recommendations surfaced to users looking for coronavirus tips. See: https://www.google.com/search?q=coronavirus+tips&fbx=dothefive,Do the Five,यी पाँच कुराहरू गर्नुहोस्
23,en,ne,proper noun,"A specialized agency of the United Nations that is concerned with world public health. Abbreviated as ""WHO"". See: https://en.wikipedia.org/wiki/World_Health_Organization",World Health Organization,विश्व स्वास्थ्य सङ्गठन
24,en,ne,proper noun,"Short for ""World Health Organization"": a specialized agency of the United Nations that is concerned with world public health. See: https://en.wikipedia.org/wiki/World_Health_Organization",WHO,WHO
25,en,ne,,,14 days in isolation,14 दिन आइसोलेसनमा
26,en,ne,,,14 days quarantine,14 दिनको क्वारेन्टिन
27,en,ne,,,2019 coronavirus,2019 कोरोनाभाइरस
28,en,ne,,,2019 novel coronavirus,2019 नोबल कोरोनाभाइरस
29,en,ne,,,2019-nCoV,2019-nCoV
30,en,ne,,,2020 coronavirus,2020 कोरोनाभाइरस
31,en,ne,,,2020 novel coronavirus,2020 नोबल कोरोनाभाइरस
33,en,ne,,,about coronavirus,कोरोनाभाइरस बारे
39,en,ne,,,acute respiratory distress syndrome,उच्च रेस्पिरेटर डिस्ट्रेस सिन्ड्रोम
40,en,ne,,,advanced hand sanitizer,उच्चतम ह्यान्डस्यानिटाइजर
41,en,ne,,,Affected by coronavirus,कोरोनाभाइरसले संक्रमित
42,en,ne,,,after exposure,जोखिम भए पछि
43,en,ne,,,After the epidemic,महामारी पछि
44,en,ne,,,After the outbreak,संक्रमण पछि
47,en,ne,,,airborne virus,हावाबाट फैलने भाइरस
48,en,ne,,,alcohol based hand sanitizer,अल्कोहल भएको ह्यान्ड स्यानिटाइजर
49,en,ne,,,alcohol hand sanitizer,अल्कोहलभएको ह्यान्ड स्यानिटाइजर
51,en,ne,,,alcohol-based hand sanitizer,अल्कोहल भएको ह्यान्डस्यानिटाइजर
59,en,ne,,,Anti-Corona virus spray,कोरोना भाइरस विरुद्द स्प्रे
60,en,ne,,,antibacterial hand sanitizer,ब्याक्टेरिया विरुद्द ह्यान्ड स्यानिटाइजर
61,en,ne,,,ARDS,ARDS
64,en,ne,,,avoid exposure,जोखिम कम गर्नुहोस्‌
65,en,ne,,,be infected,संक्रमित हुनु
75,en,ne,,,Beware of coronavirus,कोरोनाभाइरसबाट सचेत हुनुहोस्‌
76,en,ne,,,bilateral interstitial pneumonia,दुईपक्षीय मिल्ने निमोनिया
77,en,ne,,,CDC,CDC
78,en,ne,,,Center for Disease Control,Center for Disease Control
83,en,ne,,,community spread,सामुदायीक संक्रमण
84,en,ne,,,compulsory quarantine,अनिवार्य क्वारेन्टिन
85,en,ne,,,contagious,संक्रामण
135,en,ne,,,coronavirus,कोरोनाभाइरस
136,en,ne,,,coronavirus (COVID-19),कोरोनाभाइरस (कोभिड-19)
137,en,ne,,,coronavirus alert,कोरोनाभाइरसको अलर्ट
139,en,ne,,,coronavirus cases,कोरोनाभाइरसका बिरामीहरू
141,en,ne,,,coronavirus concerns,कोरोनाभाइरसको सम्बन्ध
143,en,ne,,,coronavirus crisis,कोरोना भाइरसको समस्या
149,en,ne,,,coronavirus disease,कोरोनाभाइरस रोग
150,en,ne,,,Coronavirus disease (COVID-19) outbreak,कोरोनाभाइरस रोग (कोभिड-19) को संक्रमण
153,en,ne,,,coronavirus early symptoms,कोरोनाभाइरसका प्रारम्भिक लक्षण
155,en,ne,,,coronavirus epidemic,कोरोनाभाइरस माहामारी
156,en,ne,,,coronavirus exposure,कोरोनाभाइरसको संक्रमण
161,en,ne,,,coronavirus incubation,कोरोनाभाइरस इन्कुबेसन
162,en,ne,,,coronavirus incubation period,कोरोनाभाइरसको इन्कुबेसन समय
163,en,ne,,,coronavirus infection,कोरोनाभाइरसको संक्रमण
168,en,ne,,,coronavirus map,कोरोनाभाइरस नक्सा
170,en,ne,,,coronavirus medicine,कोरोनाभाइरसको औषधी
171,en,ne,,,coronavirus medicines,कोरोनाभाइरसको औषधीहरू
172,en,ne,,,coronavirus news,कोरोनाभाइरसको समाचार
173,en,ne,,,coronavirus outbreak,कोरोनाभाइरसको फैलावट
174,en,ne,,,coronavirus pandemic,कोरोनाभाइरसको माहामारी
176,en,ne,,,coronavirus pneumonia,कोरोनाभाइरसको निमोनिया
177,en,ne,,,coronavirus precautions,कोरोनाभाइरसको सतर्कता
178,en,ne,,,coronavirus prevention,कोरोनाभाइरसको बचावट
179,en,ne,,,coronavirus protection,कोरोनाभाइरसको सुरक्षा
180,en,ne,,,coronavirus quarantine,कोरोनाभाइरस क्वारेन्टिन
182,en,ne,,,coronavirus SOS Alert,कोरोनाभाइरसको SOS अलर्ट
183,en,ne,,,coronavirus spread,कोरोनाभाइरसको संक्रमण
184,en,ne,,,coronavirus symptoms,कोरोनाभाइरसको लक्षण
185,en,ne,,,coronavirus transmission,कोरोनाभाइरस सर्ने
186,en,ne,,,coronavirus travel ban,कोरोनाभाइरसको यात्रा प्रतिबन्ध
187,en,ne,,,coronavirus travel restrictions,कोरोनाभाइरसको यात्रा प्रतिबन्ध
188,en,ne,,,coronavirus treatment,कोरोनाभाइरसको उपचार
190,en,ne,,,coronavirus update,कोरोनाभाइरसको अद्यावधिक
191,en,ne,,,coronavirus vaccine,कोरोनाभाइरसको औषधी
192,en,ne,,,coronavirus vaccines,कोरोनाभाइरसको औषधीहरू
198,en,ne,,,covid cases,कोभिडका बिरामीहरू
205,en,ne,,,covid early symptoms,कोभिडको प्रारम्भिक लक्षण
213,en,ne,,,covid incubation period,कोभिड इन्कुबेसन समय
215,en,ne,,,covid international spread,कोभिड अन्तराष्ट्रिय फैलावट
216,en,ne,,,covid international travel,कोभिड अन्तराष्ट्रिय यात्रा
217,en,ne,,,covid isolation,कोभिड आइसोलेसन
