stringID,sourceLang,targetLang,pos,description,sourceString,targetString
1,en,th,adjective,"In the context of coronavirus (COVID-19): transmissible by direct or indirect contact with an infected person (describes the disease or the virus, not a person).",contagious,ติดต่อง่าย
2,en,th,noun,In the context of coronavirus (COVID-19): known cases of people who currently have the disease.,active cases,ผู้ป่วยที่มีเชื้ออยู่
3,en,th,noun,In the context of coronavirus (COVID-19): cases of people infected with the virus which have been confirmed via medical testing.,confirmed cases,ผู้ป่วยที่ได้รับการยืนยันว่าติดเชื้อ
4,en,th,proper noun,"Short for ""Centers for Disease Control and Prevention"": a US federal agency under the Department of Health and Human Services, whose main goal is to protect public health and safety through the control and prevention of disease.",CDC,CDC
5,en,th,noun,"A formal name for the disease caused by the SARS-CoV-2 virus, responsible for the 2019/2020 global pandemic.",COVID-19,โควิด-19
6,en,th,noun,In the context of coronavirus (COVID-19): a place where people can be tested for the virus.,COVID-19 testing center,ศูนย์ตรวจหาเชื้อไวรัสโควิด-19
7,en,th,noun,"An informal name for the SARS-CoV-2 virus (also known as ""novel coronavirus""), responsible for the 2019/2020 global pandemic of COVID-19 (the disease caused by the virus). Sometimes refers to the entire category of coronaviruses, of which SARS-CoV-2 is just one example.",coronavirus,ไวรัสโคโรนา
8,en,th,noun,"In the context of coronavirus (COVID-19): a mask covering the nose, mouth and/or eyes of the wearer, intended to protect the wearer from spreading or contracting pathogens.",face mask,หน้ากาก
9,en,th,noun,"In the context of coronavirus (COVID-19): can be a person, such as a doctor, but also an organization, such as a hospital or insurance company.",healthcare provider,ผู้ให้บริการสาธารณสุข
10,en,th,noun,"In the context of coronavirus (COVID-19): a person who works in healthcare, such as a doctor or therapist.",healthcare professional,ผู้ประกอบวิชาชีพสาธารณสุข
11,en,th,noun,"In the context of coronavirus (COVID-19): the practice of cleaning one's hands, e.g. with water and soap, in order to get rid of the virus and other pathogens.",hand-washing,การล้างมือ
12,en,th,noun,In the context of coronavirus (COVID-19): the period of time between infection and the appearance of symptoms of the disease.,incubation period,ระยะฟักตัว
13,en,th,noun,In the context of coronavirus (COVID-19): the practice of separating sick people from healthy people to prevent the spread of disease.,isolation,การแยกกักตัว
14,en,th,noun,In the context of the coronavirus (COVID-19): the practice of restricting the movement of healthy people who may have been exposed to the virus to see if they become ill.,quarantine,การกักบริเวณ
15,en,th,verb,In the context of the coronavirus (COVID-19): to restrict the movement of healthy people who may have been exposed to the virus to see if they become ill.,quarantine,กักบริเวณ
16,en,th,proper noun,"Short for ""National Institutes of Health Agency"": the primary US government agency responsible for biomedical and public health research; part of the United States Department of Health and Human Services.",NIH,NIH
17,en,th,noun,"In the context of coronavirus (COVID-19): being within a close distance (1-2m) of another person, not necessarily having actual physical contact. Close contact is one possible way for the virus to spread from person to person.",close contact,การพบปะใกล้ชิด
18,en,th,noun,In the context of coronavirus (COVID-19): the process of the virus spreading from person to person.,transmission,การแพร่เชื้อ
19,en,th,noun,In the context of coronavirus (COVID-19): cases of people infected with the virus which have resulted in the end of the infected person's life.,deaths,ผู้เสียชีวิต
20,en,th,noun,In the context of coronavirus (COVID-19): a place where people can be tested for the virus.,testing center,ศูนย์ตรวจหาเชื้อไวรัส
21,en,th,verb,"In the context of the coronavirus (COVID-19): to infect new people, in a particular area or globally.",spread,แพร่กระจาย
22,en,th,verb,A header for a set of five recommendations surfaced to users looking for coronavirus tips. See: https://www.google.com/search?q=coronavirus+tips&fbx=dothefive,Do the Five,ข้อควรปฏิบัติ 5 ประการ
23,en,th,proper noun,"A specialized agency of the United Nations that is concerned with world public health. Abbreviated as ""WHO"". See: https://en.wikipedia.org/wiki/World_Health_Organization",World Health Organization,องค์การอนามัยโลก
24,en,th,proper noun,"Short for ""World Health Organization"": a specialized agency of the United Nations that is concerned with world public health. See: https://en.wikipedia.org/wiki/World_Health_Organization",WHO,WHO
25,en,th,,,14 days in isolation,กักตัว 14 วัน
26,en,th,,,14 days quarantine,การกักตัว 14 วัน
27,en,th,,,2019 coronavirus,ไวรัสโคโรน่า 2019
28,en,th,,,2019 novel coronavirus,ไวรัสโคโรน่าสายพันธุ์ใหม่ 2019
29,en,th,,,2019-nCoV,2019-nCoV
30,en,th,,,2020 coronavirus,ไวรัสโคโรน่า 2020
31,en,th,,,2020 novel coronavirus,ไวรัสโคโรน่าสายพันธุ์ใหม่ 2020
33,en,th,,,about coronavirus,เกี่ยวกับไวรัสโคโรน่า
39,en,th,,,acute respiratory distress syndrome,กลุ่มอาการหายใจลำบากเฉียบพลัน
40,en,th,,,advanced hand sanitizer,เจลล้างมือคุณภาพสูง
41,en,th,,,Affected by coronavirus,ได้รับผลกระทบจากไวรัส
42,en,th,,,after exposure,หลังจากรับสัมผัสเชื้อ
43,en,th,,,After the epidemic,หลังการระบาด
44,en,th,,,After the outbreak,หลังการระบาดโรค
47,en,th,,,airborne virus,ไวรัสที่แพร่กระจายทางอากาศได้
48,en,th,,,alcohol based hand sanitizer,เจลล้างมือแบบแอลกอฮอล์
49,en,th,,,alcohol hand sanitizer,เจลล้างมือแอลกอฮอล์
51,en,th,,,alcohol-based hand sanitizer,เจลล้างมือแบบแอลกอฮอล์
59,en,th,,,Anti-Corona virus spray,สเปรย์ป้องกันไวรัสโคโรน่า
60,en,th,,,antibacterial hand sanitizer,เจลล้างมือต่อต้านแบคทีเรีย
61,en,th,,,ARDS,ARDS
64,en,th,,,avoid exposure,หลีกเลี่ยงการรับสัมผัสเชื้อ
65,en,th,,,be infected,ติดเชื้อ
75,en,th,,,Beware of coronavirus,ระวังไวรัสโคโรน่า
76,en,th,,,bilateral interstitial pneumonia,โรคปอดบวมในผนังถุงลมทั้งสองข้าง
77,en,th,,,CDC,CDC
78,en,th,,,Center for Disease Control,Center for Disease Control
83,en,th,,,community spread,การแพร่กระจายในชุมชน
84,en,th,,,compulsory quarantine,การบังคับกักตัว
85,en,th,,,contagious,โรคติดต่อ
135,en,th,,,coronavirus,ไวรัสโคโรน่า
136,en,th,,,coronavirus (COVID-19),ไวรัสโคโรน่า (โควิด-19)
137,en,th,,,coronavirus alert,การแจ้งเตือนไวรัสโคโรน่า
139,en,th,,,coronavirus cases,เคสไวรัสโคโรน่า
141,en,th,,,coronavirus concerns,ข้อกังวลเกี่ยวกับไวรัสโคโรน่า
143,en,th,,,coronavirus crisis,วิกฤตไวรัสโคโรน่า
149,en,th,,,coronavirus disease,โรคไวรัสโคโรน่า
150,en,th,,,Coronavirus disease (COVID-19) outbreak,การระบาดโรคไวรัสโคโรน่า (โควิด-19)
153,en,th,,,coronavirus early symptoms,อาการเบื้องต้นของไวรัสโคโรน่า
155,en,th,,,coronavirus epidemic,โรคระบาดไวรัสโคโรน่า
156,en,th,,,coronavirus exposure,การรับสัมผัสเชื้อไวรัสโคโรน่า
161,en,th,,,coronavirus incubation,การฟักตัวของไวรัสโคโรน่า
162,en,th,,,coronavirus incubation period,ระยะฟักตัวของไวรัสโคโรน่า
163,en,th,,,coronavirus infection,การติดเชื้อไวรัสโคโรน่า
168,en,th,,,coronavirus map,แผนที่ไวรัสโคโรน่า
170,en,th,,,coronavirus medicine,ยารักษาไวรัสโคโรน่า
171,en,th,,,coronavirus medicines,ยารักษาไวรัสโคโรน่า
172,en,th,,,coronavirus news,ข่าวสารเกี่ยวกับไวรัสโคโรน่า
173,en,th,,,coronavirus outbreak,การระบาดของไวรัสโคโรน่า
174,en,th,,,coronavirus pandemic,การระบาดใหญ่ของไวรัสโคโรน่า
176,en,th,,,coronavirus pneumonia,โรคปอดอักเสบจากไวรัสโคโรน่า
177,en,th,,,coronavirus precautions,ข้อควรระวังสำหรับไวรัสโคโรน่า
178,en,th,,,coronavirus prevention,การป้องกันไวรัสโคโรน่า
179,en,th,,,coronavirus protection,การปกป้องจากไวรัสโคโรน่า
180,en,th,,,coronavirus quarantine,การกักตัวจากไวรัสโคโรน่า
182,en,th,,,coronavirus SOS Alert,สัญญาณแจ้งขอความช่วยเหลือเกี่ยวกับไวรัสโคโรน่า
183,en,th,,,coronavirus spread,การแพร่กระจายไวรัสโคโรน่า
184,en,th,,,coronavirus symptoms,อาการของไวรัสโคโรน่า
185,en,th,,,coronavirus transmission,การแพร่เชื้อไวรัสโคโรน่า
186,en,th,,,coronavirus travel ban,การห้ามเดินทางเนื่องจากไวรัสโคโรน่า
187,en,th,,,coronavirus travel restrictions,การจำกัดการเดินทางเนื่องจากไวรัสโคโรน่า
188,en,th,,,coronavirus treatment,การรักษาไวรัสโคโรน่า
190,en,th,,,coronavirus update,อัปเดตไวรัสโคโรน่า
191,en,th,,,coronavirus vaccine,วัคซีนไวรัสโคโรน่า
192,en,th,,,coronavirus vaccines,วัคซีนไวรัสโคโรน่า
198,en,th,,,covid cases,เคสโควิด
205,en,th,,,covid early symptoms,อาการเบื้องต้นของโควิด
213,en,th,,,covid incubation period,ระยะฟักตัวของโควิด
215,en,th,,,covid international spread,การแพร่กระจายโควิดระหว่างประเทศ
216,en,th,,,covid international travel,การส่งทอดโควิดระหว่างประเทศ
217,en,th,,,covid isolation,การแยกออกจากโควิด
219,en,th,,,covid map,แผนที่โควิด
220,en,th,,,covid medicine,ยารักษาโควิด
221,en,th,,,covid medicines,ยารักษาโควิด
222,en,th,,,covid news,ข่าวสารเกี่ยวกับโควิด
223,en,th,,,covid outbreak,การระบาดของโควิด
224,en,th,,,covid pandemic,การระบาดใหญ่ของโควิด
225,en,th,,,covid panic,การตื่นตกใจกับโควิด
