stringID,sourceLang,targetLang,pos,description,sourceString,targetString
xx_551,iw,en,,,פניות בנושא קורונה ובידוד בית,Inquiries on the subject of Coronavirus and home isolation
xx_552,iw,en,,,פניות בנושא קורונה,Inquiries on the subject of Coronavirus
xx_553,iw,en,,,בידוד בית,Home isolation
xx_554,iw,en,,,בידוד בית לחוזרים מחול,Home isolation for those returning from abroad
xx_555,iw,en,,,דיווח על הפרת בידוד בית,Reporting a violation of home isolation
xx_556,iw,en,,,הנחיות לבידוד בית,Home isolation guidelines
xx_557,iw,en,,,שאלות ותשובות בנושא הנגיף,Questions and answers about the virus
xx_558,iw,en,,,חולים מאומתים,Confirmed patients
xx_559,iw,en,,,בידודים לפי רשות מקומית,Isolations by local municipality
xx_560,iw,en,,,מקרי חשיפה בקרבתי,Exposure cases near me
xx_561,iw,en,,,המגן אפליקציה לקורונה,HaMagen application for Coronavirus
xx_562,iw,en,,,מידע על נגיף הקורונה,Information on Coronavirus
xx_563,iw,en,,,מפת חשיפה לנגיף הקורונה בישראל,Coronavirus exposure map in Israel
xx_564,iw,en,,,חולה קורונה מספר,Coronavirus patient number
xx_565,iw,en,,,התפרצות הקורונה,Coronavirus outbreak
xx_566,iw,en,,,דיווחים שוטפים על המגפה,Ongoing reports on the pandemic
xx_567,iw,en,,,דיווחים אחרונים,Latest reports
xx_568,iw,en,,,מספר מאובחני הקורונה בישראל,Number of Coronavirus cases in Israel
xx_569,iw,en,,,מספר הנפטרים,Number of deaths
xx_570,iw,en,,,מספר המאובחנים,Number of infected
xx_571,iw,en,,,מספר החולים בבני ברק,Number of patients in Bnei Brak
xx_572,iw,en,,,מספר החולים בירושלים,Number of patients in Jerusalem
xx_573,iw,en,,,מספר החולים בתל אביב,Number of patients in Tel Aviv
xx_574,iw,en,,,כמה זמן שורד נגיף קורונה,How long does the Coronavirus survive
xx_575,iw,en,,,חיטוי מועיל,Effective disinfection
xx_576,iw,en,,,מסכות למניעת הדבקה,Masks to prevent infection
xx_577,iw,en,,,מסכות הגנה,Protective masks
xx_578,iw,en,,,בלימת הקורונה,Stopping the Coronavirus
xx_579,iw,en,,,הטלת סגר,Imposing closure
xx_580,iw,en,,,הטלת מגבלות תנועה,Imposing movement restrictions
xx_581,iw,en,,,חסינות עדר,Herd immunity
xx_582,iw,en,,,חסינות קהילתית,Community immunity
xx_583,iw,en,,,מעקב קורונה,Tracking Coronavirus
xx_584,iw,en,,,קורונה בישראל,Coronavirus in Israel
xx_585,iw,en,,,התפשטות הקורונה,The spread of Coronavirus
xx_586,iw,en,,,קורונה בעולם,Coronavirus across the world
xx_587,iw,en,,,השוואה בין מדינות,Comparison between countries
xx_588,iw,en,,,מדריך לתקנות חירום,Emergency regulation guide
xx_589,iw,en,,,רשימת המקונות הנגועים,List of infected places
xx_590,iw,en,,,מקרי הידבקות מאומתים,Confirmed infection cases
xx_591,iw,en,,,מקרי מוות מאומתים,Confirmed deaths
xx_592,iw,en,,,שיעור האבטלה,Unemployment rate
xx_593,iw,en,,,משביתה את צי המטוסים,Shuts down the aircraft fleet
xx_594,iw,en,,,מבטלים טיסה בגלל הקורונה,Canceling a flight because of the Coronavirus
xx_595,iw,en,,,ביטולי טיסות וחופשות,Cancellations of flights and vacations
xx_596,iw,en,,,מדיניות ועדכונים לאור המצב,Policies and updates in light of the situation
xx_597,iw,en,,,השהיית הטיסות הסדירות,Suspension of regular flights
xx_598,iw,en,,,טיסות חילוץ,Rescue flights
xx_599,iw,en,,,טיסות חיוניות,Essential flights
xx_600,iw,en,,,מידע בנושא נגיף הקורונה,Information on Coronavirus
